system:index,Alipur,Anand_Vihar,Ashok_Vihar,Aya_Nagar,Bawana,Burari_Crossing,CRRI_Mathura_Road,Chandni_Chowk,DTU,Dr._Karni_Shooting_Range,Dwarka-Sector_8,IGI_Airport_(T3),IHBAS_Dilshad_Garden,ITO,Jahangirpuri,Jawaharlal_Nehru_Stadium,Lodhi_Road,Major_Dhyan_Chand_National_Stadium,Mandir_Marg,Mundka,NSIT_Dwarka,Najafgarh,Narela,Nehru_Nagar,North_Campus_DU,Okhla_Phase-2,Patparganj,Punjabi_Bagh,Pusa,R_K_Puram,Rohini,Shadipur,Sirifort,Sonia_Vihar,Sri_Aurobindo_Marg,Vivek_Vihar,Wazirpur,Datetime
0,0.229,0.119,0.135,0.15,0.216,0.103,0.235,0.098,0.192,0.2,0.158,0.108,0.158,0.175,0.089,0.147,0.17,0.168,0.16,0.163,0.231,0.194,0.236,0.176,0.193,0.078,0.115,0.109,0.222,0.159,0.131,0.081,0.235,0.237,0.076,0.11,0.046,2018-01-01
1,0.22,0.135,0.183,0.3,0.242,0.094,0.321,0.107,0.284,0.342,0.25,0.178,0.22,0.204,0.127,0.185,0.249,0.213,0.246,0.22,0.394,0.282,0.251,0.266,0.259,0.133,0.116,0.158,0.278,0.269,0.175,0.11,0.412,0.24,0.109,0.135,0.058,2018-07-01
2,0.213,0.195,0.243,0.24,0.193,0.137,0.43,0.176,0.318,0.306,0.254,0.166,0.264,0.315,0.153,0.225,0.305,0.295,0.298,0.196,0.372,0.194,0.208,0.306,0.339,0.159,0.204,0.2,0.29,0.312,0.207,0.157,0.423,0.272,0.151,0.186,0.096,2019-01-01
3,0.238,0.215,0.24,0.383,0.195,0.121,0.454,0.157,0.32,0.378,0.31,0.229,0.317,0.319,0.141,0.235,0.322,0.32,0.348,0.198,0.416,0.23,0.224,0.328,0.351,0.155,0.207,0.197,0.348,0.344,0.214,0.159,0.453,0.261,0.141,0.201,0.073,2019-07-01
4,0.266,0.222,0.258,0.29,0.235,0.146,0.47,0.182,0.342,0.339,0.286,0.159,0.33,0.339,0.165,0.242,0.339,0.339,0.322,0.224,0.42,0.226,0.267,0.338,0.363,0.17,0.226,0.212,0.351,0.351,0.229,0.168,0.484,0.338,0.158,0.199,0.104,2020-01-01
5,0.236,0.202,0.237,0.355,0.212,0.128,0.427,0.152,0.339,0.379,0.281,0.172,0.297,0.297,0.143,0.232,0.321,0.293,0.345,0.204,0.389,0.212,0.237,0.323,0.353,0.159,0.188,0.197,0.318,0.333,0.229,0.163,0.458,0.259,0.13,0.169,0.082,2020-07-01
6,0.214,0.202,0.235,0.263,0.196,0.133,0.431,0.172,0.304,0.317,0.264,0.149,0.278,0.31,0.144,0.244,0.322,0.31,0.314,0.21,0.381,0.222,0.212,0.328,0.334,0.159,0.202,0.219,0.299,0.33,0.201,0.162,0.43,0.281,0.155,0.178,0.102,2021-01-01
7,0.278,0.219,0.249,0.459,0.236,0.126,0.482,0.176,0.375,0.476,0.31,0.208,0.331,0.34,0.161,0.254,0.334,0.322,0.387,0.191,0.448,0.254,0.27,0.365,0.351,0.18,0.207,0.221,0.353,0.388,0.261,0.175,0.508,0.295,0.155,0.185,0.091,2021-07-01
8,0.176,0.158,0.184,0.251,0.168,0.101,0.311,0.123,0.249,0.26,0.215,0.133,0.218,0.22,0.117,0.183,0.218,0.219,0.231,0.139,0.326,0.161,0.184,0.241,0.244,0.118,0.156,0.158,0.228,0.244,0.177,0.13,0.334,0.214,0.11,0.142,0.073,2022-01-01
9,0.156,0.146,0.164,0.299,0.16,0.09,0.279,0.106,0.23,0.314,0.205,0.144,0.216,0.203,0.108,0.169,0.209,0.188,0.235,0.12,0.269,0.155,0.171,0.227,0.229,0.115,0.142,0.131,0.229,0.245,0.162,0.114,0.338,0.173,0.096,0.121,0.055,2022-07-01
10,0.197,0.161,0.184,0.247,0.179,0.111,0.326,0.129,0.247,0.276,0.212,0.135,0.227,0.229,0.129,0.182,0.221,0.223,0.232,0.162,0.304,0.187,0.199,0.244,0.251,0.126,0.162,0.132,0.238,0.254,0.176,0.136,0.324,0.233,0.115,0.146,0.079,2023-01-01
11,0.209,0.167,0.188,0.303,0.193,0.092,0.332,0.12,0.29,0.347,0.241,0.152,0.259,0.228,0.121,0.193,0.247,0.22,0.249,0.161,0.331,0.18,0.205,0.262,0.257,0.135,0.172,0.127,0.252,0.285,0.192,0.135,0.375,0.194,0.113,0.142,0.068,2023-07-01
