Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-04,
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-10,
2017-06-11,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,
2017-07-02,
2017-07-03,
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-08,
2017-07-09,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,98.0
2017-09-09,105.0
2017-09-10,134.0
2017-09-11,130.0
2017-09-12,92.0
2017-09-13,130.0
2017-09-14,
2017-09-15,346.0
2017-09-16,117.0
2017-09-17,107.0
2017-09-18,206.0
2017-09-19,172.0
2017-09-20,176.0
2017-09-21,176.0
2017-09-22,53.0
2017-09-23,27.0
2017-09-24,44.0
2017-09-25,125.0
2017-09-26,147.0
2017-09-27,211.0
2017-09-28,218.0
2017-09-29,247.0
2017-09-30,224.0
2017-10-01,
2017-10-02,
2017-10-03,235.0
2017-10-04,308.0
2017-10-05,261.0
2017-10-06,244.0
2017-10-07,
2017-10-08,300.0
2017-10-09,313.0
2017-10-10,284.0
2017-10-11,309.0
2017-10-12,
2017-10-13,195.0
2017-10-14,
2017-10-15,188.0
2017-10-16,198.0
2017-10-17,
2017-10-18,214.0
2017-10-19,229.0
2017-10-20,327.0
2017-10-21,
2017-10-22,335.0
2017-10-23,313.0
2017-10-24,303.0
2017-10-25,340.0
2017-10-26,313.0
2017-10-27,
2017-10-28,304.0
2017-10-29,
2017-10-30,
2017-10-31,339.0
2017-11-01,335.0
2017-11-02,300.0
2017-11-03,311.0
2017-11-04,325.0
2017-11-05,336.0
2017-11-06,279.0
2017-11-07,440.0
2017-11-08,499.0
2017-11-09,494.0
2017-11-10,477.0
2017-11-11,381.0
2017-11-12,483.0
2017-11-13,467.0
2017-11-14,147.0
2017-11-15,323.0
2017-11-16,361.0
2017-11-17,310.0
2017-11-18,300.0
2017-11-19,300.0
2017-11-20,330.0
2017-11-21,308.0
2017-11-22,293.0
2017-11-23,283.0
2017-11-24,227.0
2017-11-25,294.0
2017-11-26,338.0
2017-11-27,346.0
2017-11-28,325.0
2017-11-29,283.0
2017-11-30,331.0
2017-12-01,310.0
2017-12-02,294.0
2017-12-03,314.0
2017-12-04,371.0
2017-12-05,
2017-12-06,
2017-12-07,224.0
2017-12-08,202.0
2017-12-09,274.0
2017-12-10,
2017-12-11,304.0
2017-12-12,200.0
2017-12-13,222.0
2017-12-14,
2017-12-15,240.0
2017-12-16,212.0
2017-12-17,148.0
2017-12-18,168.0
2017-12-19,238.0
2017-12-20,318.0
2017-12-21,415.0
2017-12-22,277.0
2017-12-23,148.0
2017-12-24,249.0
2017-12-25,353.0
2017-12-26,324.0
2017-12-27,311.0
2017-12-28,303.0
2017-12-29,282.0
2017-12-30,345.0
2017-12-31,360.0
2018-01-01,346.0
2018-01-02,350.0
2018-01-03,318.0
2018-01-04,303.0
2018-01-05,348.0
2018-01-06,358.0
2018-01-07,329.0
2018-01-08,282.0
2018-01-09,326.0
2018-01-10,321.0
2018-01-11,286.0
2018-01-12,252.0
2018-01-13,332.0
2018-01-14,297.0
2018-01-15,315.0
2018-01-16,161.0
2018-01-17,336.0
2018-01-18,361.0
2018-01-19,361.0
2018-01-20,307.0
2018-01-21,270.0
2018-01-22,299.0
2018-01-23,293.0
2018-01-24,264.0
2018-01-25,182.0
2018-01-26,193.0
2018-01-27,224.0
2018-01-28,275.0
2018-01-29,279.0
2018-01-30,279.0
2018-01-31,240.0
2018-02-01,249.0
2018-02-02,260.0
2018-02-03,251.0
2018-02-04,264.0
2018-02-05,264.0
2018-02-06,272.0
2018-02-07,227.0
2018-02-08,261.0
2018-02-09,288.0
2018-02-10,285.0
2018-02-11,309.0
2018-02-12,109.0
2018-02-13,120.0
2018-02-14,132.0
2018-02-15,143.0
2018-02-16,
2018-02-17,177.0
2018-02-18,216.0
2018-02-19,240.0
2018-02-20,268.0
2018-02-21,272.0
2018-02-22,277.0
2018-02-23,
2018-02-24,297.0
2018-02-25,291.0
2018-02-26,98.0
2018-02-27,86.0
2018-02-28,248.0
2018-03-01,231.0
2018-03-02,193.0
2018-03-03,134.0
2018-03-04,150.0
2018-03-05,145.0
2018-03-06,96.0
2018-03-07,120.0
2018-03-08,165.0
2018-03-09,236.0
2018-03-10,135.0
2018-03-11,110.0
2018-03-12,169.0
2018-03-13,137.0
2018-03-14,125.0
2018-03-15,153.0
2018-03-16,
2018-03-17,138.0
2018-03-18,136.0
2018-03-19,125.0
2018-03-20,156.0
2018-03-21,252.0
2018-03-22,134.0
2018-03-23,90.0
2018-03-24,114.0
2018-03-25,113.0
2018-03-26,107.0
2018-03-27,129.0
2018-03-28,148.0
2018-03-29,162.0
2018-03-30,153.0
2018-03-31,202.0
2018-04-01,136.0
2018-04-02,135.0
2018-04-03,180.0
2018-04-04,144.0
2018-04-05,268.0
2018-04-06,141.0
2018-04-07,138.0
2018-04-08,95.0
2018-04-09,96.0
2018-04-10,188.0
2018-04-11,127.0
