Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-04,
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-10,
2017-06-11,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,
2017-07-02,
2017-07-03,
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-08,
2017-07-09,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,44.0
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,73.0
2017-09-08,164.0
2017-09-09,158.0
2017-09-10,196.0
2017-09-11,150.0
2017-09-12,143.0
2017-09-13,
2017-09-14,
2017-09-15,164.0
2017-09-16,88.0
2017-09-17,146.0
2017-09-18,168.0
2017-09-19,157.0
2017-09-20,206.0
2017-09-21,144.0
2017-09-22,39.0
2017-09-23,38.0
2017-09-24,103.0
2017-09-25,284.0
2017-09-26,310.0
2017-09-27,238.0
2017-09-28,230.0
2017-09-29,214.0
2017-09-30,239.0
2017-10-01,
2017-10-02,
2017-10-03,220.0
2017-10-04,303.0
2017-10-05,272.0
2017-10-06,239.0
2017-10-07,
2017-10-08,300.0
2017-10-09,304.0
2017-10-10,268.0
2017-10-11,
2017-10-12,322.0
2017-10-13,
2017-10-14,
2017-10-15,329.0
2017-10-16,328.0
2017-10-17,
2017-10-18,317.0
2017-10-19,318.0
2017-10-20,345.0
2017-10-21,
2017-10-22,335.0
2017-10-23,319.0
2017-10-24,318.0
2017-10-25,346.0
2017-10-26,337.0
2017-10-27,329.0
2017-10-28,359.0
2017-10-29,
2017-10-30,
2017-10-31,
2017-11-01,362.0
2017-11-02,295.0
2017-11-03,353.0
2017-11-04,342.0
2017-11-05,412.0
2017-11-06,
2017-11-07,465.0
2017-11-08,500.0
2017-11-09,492.0
2017-11-10,480.0
2017-11-11,425.0
2017-11-12,499.0
2017-11-13,478.0
2017-11-14,397.0
2017-11-15,371.0
2017-11-16,365.0
2017-11-17,322.0
2017-11-18,315.0
2017-11-19,291.0
2017-11-20,340.0
2017-11-21,317.0
2017-11-22,337.0
2017-11-23,329.0
2017-11-24,335.0
2017-11-25,335.0
2017-11-26,382.0
2017-11-27,374.0
2017-11-28,325.0
2017-11-29,394.0
2017-11-30,404.0
2017-12-01,364.0
2017-12-02,397.0
2017-12-03,436.0
2017-12-04,416.0
2017-12-05,385.0
2017-12-06,294.0
2017-12-07,183.0
2017-12-08,237.0
2017-12-09,307.0
2017-12-10,
2017-12-11,398.0
2017-12-12,197.0
2017-12-13,265.0
2017-12-14,271.0
2017-12-15,251.0
2017-12-16,230.0
2017-12-17,206.0
2017-12-18,252.0
2017-12-19,312.0
2017-12-20,367.0
2017-12-21,493.0
2017-12-22,
2017-12-23,296.0
2017-12-24,388.0
2017-12-25,453.0
2017-12-26,392.0
2017-12-27,391.0
2017-12-28,430.0
2017-12-29,406.0
2017-12-30,440.0
2017-12-31,473.0
2018-01-01,464.0
2018-01-02,
2018-01-03,413.0
2018-01-04,381.0
2018-01-05,376.0
2018-01-06,417.0
2018-01-07,373.0
2018-01-08,329.0
2018-01-09,384.0
2018-01-10,366.0
2018-01-11,336.0
2018-01-12,327.0
2018-01-13,378.0
2018-01-14,273.0
2018-01-15,311.0
2018-01-16,196.0
2018-01-17,360.0
2018-01-18,435.0
2018-01-19,409.0
2018-01-20,269.0
2018-01-21,275.0
2018-01-22,347.0
2018-01-23,355.0
2018-01-24,299.0
2018-01-25,271.0
2018-01-26,312.0
2018-01-27,324.0
2018-01-28,330.0
2018-01-29,326.0
2018-01-30,314.0
2018-01-31,304.0
2018-02-01,273.0
2018-02-02,301.0
2018-02-03,227.0
2018-02-04,254.0
2018-02-05,278.0
2018-02-06,303.0
2018-02-07,273.0
2018-02-08,318.0
2018-02-09,328.0
2018-02-10,353.0
2018-02-11,329.0
2018-02-12,139.0
2018-02-13,158.0
2018-02-14,229.0
2018-02-15,148.0
2018-02-16,224.0
2018-02-17,256.0
2018-02-18,240.0
2018-02-19,285.0
2018-02-20,294.0
2018-02-21,325.0
2018-02-22,294.0
2018-02-23,344.0
2018-02-24,313.0
2018-02-25,249.0
2018-02-26,179.0
2018-02-27,226.0
2018-02-28,285.0
2018-03-01,248.0
2018-03-02,258.0
2018-03-03,216.0
2018-03-04,214.0
2018-03-05,194.0
2018-03-06,211.0
2018-03-07,197.0
2018-03-08,280.0
2018-03-09,284.0
2018-03-10,193.0
2018-03-11,195.0
2018-03-12,257.0
2018-03-13,264.0
2018-03-14,321.0
2018-03-15,298.0
2018-03-16,
2018-03-17,216.0
2018-03-18,236.0
2018-03-19,213.0
2018-03-20,251.0
2018-03-21,313.0
2018-03-22,205.0
2018-03-23,162.0
2018-03-24,194.0
2018-03-25,246.0
2018-03-26,238.0
2018-03-27,275.0
2018-03-28,286.0
2018-03-29,240.0
2018-03-30,269.0
2018-03-31,255.0
2018-04-01,197.0
2018-04-02,257.0
2018-04-03,276.0
2018-04-04,292.0
2018-04-05,365.0
2018-04-06,277.0
2018-04-07,153.0
2018-04-08,120.0
2018-04-09,96.0
2018-04-10,205.0
