Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-04,
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-10,
2017-06-11,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,
2017-07-02,
2017-07-03,
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-08,
2017-07-09,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,144.0
2017-09-09,112.0
2017-09-10,129.0
2017-09-11,124.0
2017-09-12,76.0
2017-09-13,100.0
2017-09-14,
2017-09-15,
2017-09-16,88.0
2017-09-17,76.0
2017-09-18,75.0
2017-09-19,208.0
2017-09-20,154.0
2017-09-21,153.0
2017-09-22,39.0
2017-09-23,60.0
2017-09-24,320.0
2017-09-25,172.0
2017-09-26,162.0
2017-09-27,226.0
2017-09-28,118.0
2017-09-29,165.0
2017-09-30,106.0
2017-10-01,181.0
2017-10-02,115.0
2017-10-03,35.0
2017-10-04,90.0
2017-10-05,105.0
2017-10-06,99.0
2017-10-07,
2017-10-08,61.0
2017-10-09,197.0
2017-10-10,133.0
2017-10-11,109.0
2017-10-12,
2017-10-13,155.0
2017-10-14,
2017-10-15,254.0
2017-10-16,229.0
2017-10-17,
2017-10-18,276.0
2017-10-19,310.0
2017-10-20,297.0
2017-10-21,
2017-10-22,239.0
2017-10-23,128.0
2017-10-24,100.0
2017-10-25,233.0
2017-10-26,248.0
2017-10-27,329.0
2017-10-28,334.0
2017-10-29,222.0
2017-10-30,216.0
2017-10-31,283.0
2017-11-01,284.0
2017-11-02,192.0
2017-11-03,
2017-11-04,
2017-11-05,
2017-11-06,
2017-11-07,
2017-11-08,490.0
2017-11-09,488.0
2017-11-10,454.0
2017-11-11,430.0
2017-11-12,479.0
2017-11-13,449.0
2017-11-14,357.0
2017-11-15,228.0
2017-11-16,336.0
2017-11-17,280.0
2017-11-18,305.0
2017-11-19,282.0
2017-11-20,335.0
2017-11-21,307.0
2017-11-22,297.0
2017-11-23,288.0
2017-11-24,293.0
2017-11-25,292.0
2017-11-26,344.0
2017-11-27,345.0
2017-11-28,308.0
2017-11-29,247.0
2017-11-30,349.0
2017-12-01,306.0
2017-12-02,282.0
2017-12-03,305.0
2017-12-04,343.0
2017-12-05,370.0
2017-12-06,252.0
2017-12-07,152.0
2017-12-08,154.0
2017-12-09,205.0
2017-12-10,
2017-12-11,274.0
2017-12-12,161.0
2017-12-13,220.0
2017-12-14,203.0
2017-12-15,242.0
2017-12-16,227.0
2017-12-17,149.0
2017-12-18,175.0
2017-12-19,246.0
2017-12-20,302.0
2017-12-21,391.0
2017-12-22,264.0
2017-12-23,164.0
2017-12-24,206.0
2017-12-25,304.0
2017-12-26,214.0
2017-12-27,316.0
2017-12-28,345.0
2017-12-29,374.0
2017-12-30,371.0
2017-12-31,360.0
2018-01-01,382.0
2018-01-02,394.0
2018-01-03,352.0
2018-01-04,292.0
2018-01-05,352.0
2018-01-06,366.0
2018-01-07,297.0
2018-01-08,272.0
2018-01-09,308.0
2018-01-10,306.0
2018-01-11,275.0
2018-01-12,248.0
2018-01-13,308.0
2018-01-14,264.0
2018-01-15,259.0
2018-01-16,207.0
2018-01-17,318.0
2018-01-18,346.0
2018-01-19,388.0
2018-01-20,304.0
2018-01-21,251.0
2018-01-22,267.0
2018-01-23,320.0
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-27,204.0
2018-01-28,266.0
2018-01-29,258.0
2018-01-30,220.0
2018-01-31,208.0
2018-02-01,214.0
2018-02-02,215.0
2018-02-03,185.0
2018-02-04,201.0
2018-02-05,222.0
2018-02-06,221.0
2018-02-07,194.0
2018-02-08,242.0
2018-02-09,255.0
2018-02-10,270.0
2018-02-11,212.0
2018-02-12,99.0
2018-02-13,112.0
2018-02-14,130.0
2018-02-15,159.0
2018-02-16,167.0
2018-02-17,180.0
2018-02-18,179.0
2018-02-19,206.0
2018-02-20,226.0
2018-02-21,229.0
2018-02-22,255.0
2018-02-23,214.0
2018-02-24,234.0
2018-02-25,240.0
2018-02-26,99.0
2018-02-27,95.0
2018-02-28,202.0
2018-03-01,194.0
2018-03-02,198.0
2018-03-03,152.0
2018-03-04,110.0
2018-03-05,113.0
2018-03-06,88.0
2018-03-07,138.0
2018-03-08,151.0
2018-03-09,208.0
2018-03-10,119.0
2018-03-11,107.0
2018-03-12,171.0
2018-03-13,162.0
2018-03-14,141.0
2018-03-15,167.0
2018-03-16,
2018-03-17,120.0
2018-03-18,115.0
2018-03-19,122.0
2018-03-20,162.0
2018-03-21,204.0
2018-03-22,129.0
2018-03-23,89.0
2018-03-24,117.0
2018-03-25,
2018-03-26,115.0
2018-03-27,174.0
2018-03-28,178.0
2018-03-29,129.0
2018-03-30,137.0
2018-03-31,164.0
2018-04-01,124.0
2018-04-02,126.0
2018-04-03,138.0
2018-04-04,148.0
2018-04-05,231.0
2018-04-06,137.0
2018-04-07,101.0
2018-04-08,98.0
2018-04-09,95.0
2018-04-10,151.0
2018-04-11,108.0
