Datetime,AQI
2017-01-01,287.0
2017-01-02,288.0
2017-01-03,266.0
2017-01-04,
2017-01-05,363.0
2017-01-06,371.0
2017-01-07,299.0
2017-01-08,247.0
2017-01-09,276.0
2017-01-10,251.0
2017-01-11,299.0
2017-01-12,243.0
2017-01-13,166.0
2017-01-14,331.0
2017-01-15,235.0
2017-01-16,319.0
2017-01-17,219.0
2017-01-18,256.0
2017-01-19,221.0
2017-01-20,127.0
2017-01-21,210.0
2017-01-22,294.0
2017-01-23,232.0
2017-01-24,259.0
2017-01-25,316.0
2017-01-26,267.0
2017-01-27,58.0
2017-01-28,102.0
2017-01-29,106.0
2017-01-30,
2017-01-31,341.0
2017-02-01,
2017-02-02,278.0
2017-02-03,263.0
2017-02-04,326.0
2017-02-05,260.0
2017-02-06,
2017-02-07,89.0
2017-02-08,185.0
2017-02-09,243.0
2017-02-10,151.0
2017-02-11,130.0
2017-02-12,204.0
2017-02-13,172.0
2017-02-14,
2017-02-15,179.0
2017-02-16,178.0
2017-02-17,130.0
2017-02-18,144.0
2017-02-19,163.0
2017-02-20,212.0
2017-02-21,162.0
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,93.0
2017-02-26,128.0
2017-02-27,96.0
2017-02-28,204.0
2017-03-01,212.0
2017-03-02,212.0
2017-03-03,87.0
2017-03-04,88.0
2017-03-05,
2017-03-06,
2017-03-07,141.0
2017-03-08,186.0
2017-03-09,
2017-03-10,76.0
2017-03-11,
2017-03-12,68.0
2017-03-13,107.0
2017-03-14,93.0
2017-03-15,
2017-03-16,133.0
2017-03-17,
2017-03-18,84.0
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,156.0
2017-03-23,124.0
2017-03-24,135.0
2017-03-25,
2017-03-26,59.0
2017-03-27,
2017-03-28,166.0
2017-03-29,
2017-03-30,119.0
2017-03-31,114.0
2017-04-01,179.0
2017-04-02,168.0
2017-04-03,166.0
2017-04-04,189.0
2017-04-05,115.0
2017-04-06,89.0
2017-04-07,216.0
2017-04-08,
2017-04-09,71.0
2017-04-10,124.0
2017-04-11,130.0
2017-04-12,166.0
2017-04-13,260.0
2017-04-14,269.0
2017-04-15,270.0
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,284.0
2017-04-20,
2017-04-21,236.0
2017-04-22,
2017-04-23,217.0
2017-04-24,
2017-04-25,354.0
2017-04-26,231.0
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,265.0
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,360.0
2017-05-06,304.0
2017-05-07,
2017-05-08,
2017-05-09,251.0
2017-05-10,184.0
2017-05-11,180.0
2017-05-12,304.0
2017-05-13,301.0
2017-05-14,298.0
2017-05-15,300.0
2017-05-16,287.0
2017-05-17,
2017-05-18,248.0
2017-05-19,240.0
2017-05-20,
2017-05-21,324.0
2017-05-22,186.0
2017-05-23,101.0
2017-05-24,229.0
2017-05-25,203.0
2017-05-26,264.0
2017-05-27,166.0
2017-05-28,108.0
2017-05-29,122.0
2017-05-30,104.0
2017-05-31,111.0
2017-06-01,
2017-06-02,160.0
2017-06-03,
2017-06-04,
2017-06-05,147.0
2017-06-06,
2017-06-07,164.0
2017-06-08,101.0
2017-06-09,98.0
2017-06-10,
2017-06-11,77.0
2017-06-12,78.0
2017-06-13,93.0
2017-06-14,123.0
2017-06-15,
2017-06-16,81.0
2017-06-17,107.0
2017-06-18,
2017-06-19,130.0
2017-06-20,110.0
2017-06-21,109.0
2017-06-22,120.0
2017-06-23,107.0
2017-06-24,147.0
2017-06-25,140.0
2017-06-26,120.0
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,133.0
2017-07-02,80.0
2017-07-03,73.0
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-08,59.0
2017-07-09,109.0
2017-07-10,73.0
2017-07-11,41.0
2017-07-12,42.0
2017-07-13,32.0
2017-07-14,40.0
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,
2017-07-19,49.0
2017-07-20,47.0
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,85.0
2017-07-25,89.0
2017-07-26,82.0
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-09,
2017-09-10,
2017-09-11,222.0
2017-09-12,154.0
2017-09-13,132.0
2017-09-14,170.0
2017-09-15,200.0
2017-09-16,203.0
2017-09-17,149.0
2017-09-18,147.0
2017-09-19,141.0
2017-09-20,186.0
2017-09-21,207.0
2017-09-22,58.0
2017-09-23,66.0
2017-09-24,68.0
2017-09-25,99.0
2017-09-26,182.0
2017-09-27,184.0
2017-09-28,234.0
2017-09-29,222.0
2017-09-30,183.0
2017-10-01,160.0
2017-10-02,104.0
2017-10-03,
2017-10-04,
2017-10-05,672.0
2017-10-06,150.0
2017-10-07,
2017-10-08,210.0
2017-10-09,200.0
2017-10-10,192.0
2017-10-11,240.0
2017-10-12,245.0
2017-10-13,262.0
2017-10-14,
2017-10-15,268.0
2017-10-16,288.0
2017-10-17,265.0
2017-10-18,266.0
2017-10-19,272.0
2017-10-20,299.0
2017-10-21,308.0
2017-10-22,263.0
2017-10-23,218.0
2017-10-24,258.0
2017-10-25,
2017-10-26,306.0
2017-10-27,257.0
2017-10-28,245.0
2017-10-29,176.0
2017-10-30,154.0
2017-10-31,162.0
2017-11-01,95.0
2017-11-02,173.0
2017-11-03,121.0
2017-11-04,330.0
2017-11-05,228.0
2017-11-06,317.0
2017-11-07,442.0
2017-11-08,453.0
2017-11-09,457.0
2017-11-10,439.0
2017-11-11,445.0
2017-11-12,445.0
2017-11-13,349.0
2017-11-14,295.0
2017-11-15,269.0
2017-11-16,344.0
2017-11-17,316.0
2017-11-18,281.0
2017-11-19,282.0
