Datetime,AQI
2017-01-01,498.0
2017-01-02,442.0
2017-01-03,311.0
2017-01-04,344.0
2017-01-05,314.0
2017-01-06,350.0
2017-01-07,268.0
2017-01-08,292.0
2017-01-09,288.0
2017-01-10,228.0
2017-01-11,274.0
2017-01-12,279.0
2017-01-13,321.0
2017-01-14,373.0
2017-01-15,334.0
2017-01-16,335.0
2017-01-17,195.0
2017-01-18,289.0
2017-01-19,265.0
2017-01-20,204.0
2017-01-21,278.0
2017-01-22,434.0
2017-01-23,322.0
2017-01-24,336.0
2017-01-25,358.0
2017-01-26,321.0
2017-01-27,163.0
2017-01-28,142.0
2017-01-29,171.0
2017-01-30,
2017-01-31,340.0
2017-02-01,244.0
2017-02-02,330.0
2017-02-03,306.0
2017-02-04,324.0
2017-02-05,69.0
2017-02-06,57.0
2017-02-07,109.0
2017-02-08,286.0
2017-02-09,267.0
2017-02-10,257.0
2017-02-11,261.0
2017-02-12,301.0
2017-02-13,303.0
2017-02-14,341.0
2017-02-15,360.0
2017-02-16,400.0
2017-02-17,430.0
2017-02-18,
2017-02-19,
2017-02-20,112.0
2017-02-21,239.0
2017-02-22,266.0
2017-02-23,129.0
2017-02-24,119.0
2017-02-25,117.0
2017-02-26,219.0
2017-02-27,177.0
2017-02-28,242.0
2017-03-01,277.0
2017-03-02,287.0
2017-03-03,132.0
2017-03-04,161.0
2017-03-05,207.0
2017-03-06,188.0
2017-03-07,188.0
2017-03-08,155.0
2017-03-09,
2017-03-10,84.0
2017-03-11,64.0
2017-03-12,103.0
2017-03-13,157.0
2017-03-14,118.0
2017-03-15,199.0
2017-03-16,196.0
2017-03-17,218.0
2017-03-18,169.0
2017-03-19,200.0
2017-03-20,240.0
2017-03-21,235.0
2017-03-22,268.0
2017-03-23,237.0
2017-03-24,225.0
2017-03-25,171.0
2017-03-26,153.0
2017-03-27,135.0
2017-03-28,200.0
2017-03-29,
2017-03-30,125.0
2017-03-31,139.0
2017-04-01,173.0
2017-04-02,137.0
2017-04-03,97.0
2017-04-04,126.0
2017-04-05,
2017-04-06,
2017-04-07,341.0
2017-04-08,234.0
2017-04-09,98.0
2017-04-10,95.0
2017-04-11,107.0
2017-04-12,
2017-04-13,256.0
2017-04-14,294.0
2017-04-15,296.0
2017-04-16,251.0
2017-04-17,229.0
2017-04-18,307.0
2017-04-19,198.0
2017-04-20,152.0
2017-04-21,205.0
2017-04-22,247.0
2017-04-23,179.0
2017-04-24,119.0
2017-04-25,98.0
2017-04-26,90.0
2017-04-27,
2017-04-28,123.0
2017-04-29,166.0
2017-04-30,146.0
2017-05-01,143.0
2017-05-02,154.0
2017-05-03,266.0
2017-05-04,166.0
2017-05-05,279.0
2017-05-06,260.0
2017-05-07,273.0
2017-05-08,242.0
2017-05-09,235.0
2017-05-10,281.0
2017-05-11,376.0
2017-05-12,365.0
2017-05-13,322.0
2017-05-14,310.0
2017-05-15,307.0
2017-05-16,257.0
2017-05-17,171.0
2017-05-18,276.0
2017-05-19,302.0
2017-05-20,223.0
2017-05-21,379.0
2017-05-22,
