Datetime,AQI
2017-01-01,322.0
2017-01-02,304.0
2017-01-03,335.0
2017-01-04,
2017-01-05,324.0
2017-01-06,316.0
2017-01-07,
2017-01-08,280.0
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,359.0
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,213.0
2017-01-18,318.0
2017-01-19,284.0
2017-01-20,202.0
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,356.0
2017-01-25,349.0
2017-01-26,326.0
2017-01-27,
2017-01-28,202.0
2017-01-29,204.0
2017-01-30,
2017-01-31,322.0
2017-02-01,231.0
2017-02-02,303.0
2017-02-03,285.0
2017-02-04,321.0
2017-02-05,300.0
2017-02-06,324.0
2017-02-07,106.0
2017-02-08,226.0
2017-02-09,207.0
2017-02-10,
2017-02-11,189.0
2017-02-12,
2017-02-13,263.0
2017-02-14,285.0
2017-02-15,256.0
2017-02-16,237.0
2017-02-17,223.0
2017-02-18,194.0
2017-02-19,209.0
2017-02-20,244.0
2017-02-21,
2017-02-22,197.0
2017-02-23,140.0
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,165.0
2017-02-28,177.0
2017-03-01,223.0
2017-03-02,248.0
2017-03-03,114.0
2017-03-04,128.0
2017-03-05,164.0
2017-03-06,160.0
2017-03-07,149.0
2017-03-08,145.0
2017-03-09,
2017-03-10,74.0
2017-03-11,58.0
2017-03-12,79.0
2017-03-13,138.0
2017-03-14,86.0
2017-03-15,160.0
2017-03-16,151.0
2017-03-17,197.0
2017-03-18,156.0
2017-03-19,149.0
2017-03-20,199.0
2017-03-21,
2017-03-22,211.0
2017-03-23,218.0
2017-03-24,192.0
2017-03-25,127.0
2017-03-26,142.0
2017-03-27,149.0
2017-03-28,
2017-03-29,
2017-03-30,136.0
2017-03-31,
2017-04-01,
2017-04-02,163.0
2017-04-03,123.0
2017-04-04,143.0
2017-04-05,91.0
2017-04-06,115.0
2017-04-07,423.0
2017-04-08,279.0
2017-04-09,143.0
2017-04-10,152.0
2017-04-11,165.0
2017-04-12,177.0
2017-04-13,223.0
2017-04-14,243.0
2017-04-15,242.0
2017-04-16,220.0
2017-04-17,235.0
2017-04-18,
2017-04-19,244.0
2017-04-20,160.0
2017-04-21,225.0
2017-04-22,
2017-04-23,
2017-04-24,194.0
2017-04-25,193.0
2017-04-26,
2017-04-27,
2017-04-28,176.0
2017-04-29,
2017-04-30,166.0
2017-05-01,150.0
2017-05-02,174.0
2017-05-03,294.0
2017-05-04,208.0
2017-05-05,379.0
2017-05-06,272.0
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,268.0
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,335.0
2017-05-22,197.0
2017-05-23,224.0
2017-05-24,150.0
2017-05-25,141.0
2017-05-26,184.0
2017-05-27,175.0
2017-05-28,99.0
2017-05-29,78.0
2017-05-30,87.0
2017-05-31,85.0
2017-06-01,206.0
2017-06-02,201.0
2017-06-03,166.0
2017-06-04,191.0
2017-06-05,
2017-06-06,165.0
2017-06-07,116.0
2017-06-08,77.0
2017-06-09,113.0
2017-06-10,156.0
2017-06-11,112.0
2017-06-12,114.0
2017-06-13,115.0
2017-06-14,223.0
2017-06-15,275.0
2017-06-16,197.0
2017-06-17,100.0
2017-06-18,142.0
2017-06-19,261.0
2017-06-20,81.0
2017-06-21,90.0
2017-06-22,107.0
2017-06-23,106.0
2017-06-24,105.0
2017-06-25,140.0
2017-06-26,122.0
2017-06-27,105.0
2017-06-28,89.0
2017-06-29,57.0
2017-06-30,69.0
2017-07-01,87.0
2017-07-02,74.0
2017-07-03,87.0
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,104.0
2017-07-08,103.0
2017-07-09,140.0
2017-07-10,125.0
2017-07-11,120.0
2017-07-12,77.0
2017-07-13,86.0
2017-07-14,83.0
2017-07-15,83.0
2017-07-16,82.0
2017-07-17,99.0
2017-07-18,84.0
2017-07-19,104.0
2017-07-20,87.0
2017-07-21,64.0
2017-07-22,66.0
2017-07-23,70.0
2017-07-24,82.0
2017-07-25,78.0
2017-07-26,
2017-07-27,121.0
2017-07-28,106.0
2017-07-29,103.0
2017-07-30,
2017-07-31,79.0
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-09,
2017-09-10,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-16,
2017-09-17,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-23,
2017-09-24,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-09-30,
2017-10-01,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-07,
2017-10-08,
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-14,
2017-10-15,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-21,456.0
2017-10-22,351.0
2017-10-23,
2017-10-24,
2017-10-25,361.0
2017-10-26,325.0
2017-10-27,340.0
2017-10-28,356.0
2017-10-29,347.0
2017-10-30,
2017-10-31,
2017-11-01,377.0
2017-11-02,
2017-11-03,344.0
2017-11-04,352.0
2017-11-05,359.0
2017-11-06,339.0
2017-11-07,461.0
2017-11-08,478.0
2017-11-09,
2017-11-10,500.0
2017-11-11,450.0
2017-11-12,500.0
2017-11-13,493.0
2017-11-14,443.0
2017-11-15,384.0
2017-11-16,377.0
2017-11-17,319.0
2017-11-18,
2017-11-19,296.0
2017-11-20,319.0
2017-11-21,328.0
2017-11-22,330.0
2017-11-23,313.0
2017-11-24,343.0
2017-11-25,358.0
2017-11-26,
2017-11-27,364.0
2017-11-28,317.0
2017-11-29,304.0
2017-11-30,377.0
2017-12-01,346.0
2017-12-02,322.0
2017-12-03,349.0
2017-12-04,403.0
2017-12-05,381.0
2017-12-06,304.0
2017-12-07,168.0
2017-12-08,208.0
2017-12-09,331.0
2017-12-10,378.0
2017-12-11,403.0
2017-12-12,238.0
2017-12-13,318.0
2017-12-14,310.0
2017-12-15,300.0
2017-12-16,
2017-12-17,
2017-12-18,283.0
2017-12-19,319.0
2017-12-20,406.0
2017-12-21,480.0
2017-12-22,347.0
2017-12-23,250.0
2017-12-24,301.0
2017-12-25,414.0
2017-12-26,383.0
2017-12-27,376.0
2017-12-28,390.0
2017-12-29,382.0
2017-12-30,412.0
2017-12-31,405.0
2018-01-01,457.0
2018-01-02,473.0
2018-01-03,413.0
2018-01-04,408.0
2018-01-05,421.0
2018-01-06,425.0
2018-01-07,368.0
2018-01-08,298.0
2018-01-09,376.0
2018-01-10,370.0
2018-01-11,322.0
2018-01-12,333.0
2018-01-13,397.0
2018-01-14,355.0
2018-01-15,340.0
2018-01-16,319.0
2018-01-17,259.0
2018-01-18,394.0
2018-01-19,434.0
2018-01-20,361.0
2018-01-21,
2018-01-22,371.0
2018-01-23,336.0
2018-01-24,331.0
2018-01-25,276.0
2018-01-26,287.0
2018-01-27,228.0
2018-01-28,327.0
2018-01-29,289.0
2018-01-30,290.0
2018-01-31,295.0
2018-02-01,317.0
2018-02-02,305.0
2018-02-03,256.0
2018-02-04,268.0
2018-02-05,288.0
2018-02-06,281.0
2018-02-07,275.0
2018-02-08,307.0
2018-02-09,326.0
2018-02-10,331.0
2018-02-11,269.0
2018-02-12,181.0
2018-02-13,179.0
2018-02-14,173.0
2018-02-15,155.0
2018-02-16,253.0
2018-02-17,290.0
2018-02-18,269.0
2018-02-19,284.0
2018-02-20,301.0
2018-02-21,292.0
2018-02-22,305.0
2018-02-23,285.0
2018-02-24,306.0
2018-02-25,249.0
2018-02-26,175.0
