Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,210.0
2017-01-11,233.0
2017-01-12,248.0
2017-01-13,323.0
2017-01-14,349.0
2017-01-15,326.0
2017-01-16,339.0
2017-01-17,269.0
2017-01-18,303.0
2017-01-19,317.0
2017-01-20,110.0
2017-01-21,179.0
2017-01-22,282.0
2017-01-23,248.0
2017-01-24,262.0
2017-01-25,369.0
2017-01-26,
2017-01-27,220.0
2017-01-28,206.0
2017-01-29,311.0
2017-01-30,
2017-01-31,420.0
2017-02-01,294.0
2017-02-02,310.0
2017-02-03,289.0
2017-02-04,270.0
2017-02-05,209.0
2017-02-06,276.0
2017-02-07,192.0
2017-02-08,196.0
2017-02-09,275.0
2017-02-10,246.0
2017-02-11,256.0
2017-02-12,272.0
2017-02-13,
2017-02-14,244.0
2017-02-15,270.0
2017-02-16,258.0
2017-02-17,252.0
2017-02-18,239.0
2017-02-19,184.0
2017-02-20,165.0
2017-02-21,256.0
2017-02-22,231.0
2017-02-23,233.0
2017-02-24,208.0
2017-02-25,177.0
2017-02-26,235.0
2017-02-27,203.0
2017-02-28,273.0
2017-03-01,302.0
2017-03-02,238.0
2017-03-03,166.0
2017-03-04,212.0
2017-03-05,174.0
2017-03-06,155.0
2017-03-07,223.0
2017-03-08,307.0
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,343.0
2017-03-25,408.0
2017-03-26,282.0
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,285.0
2017-04-14,264.0
2017-04-15,297.0
2017-04-16,265.0
2017-04-17,268.0
2017-04-18,306.0
2017-04-19,284.0
2017-04-20,277.0
2017-04-21,303.0
2017-04-22,333.0
2017-04-23,277.0
2017-04-24,268.0
2017-04-25,262.0
2017-04-26,213.0
2017-04-27,
2017-04-28,246.0
2017-04-29,230.0
2017-04-30,
2017-05-01,201.0
2017-05-02,297.0
2017-05-03,313.0
2017-05-04,292.0
2017-05-05,256.0
2017-05-06,222.0
2017-05-07,218.0
2017-05-08,211.0
2017-05-09,178.0
2017-05-10,127.0
2017-05-11,130.0
2017-05-12,287.0
2017-05-13,246.0
2017-05-14,192.0
2017-05-15,165.0
2017-05-16,206.0
2017-05-17,134.0
2017-05-18,137.0
2017-05-19,131.0
2017-05-20,264.0
2017-05-21,358.0
2017-05-22,281.0
2017-05-23,257.0
2017-05-24,278.0
2017-05-25,247.0
2017-05-26,280.0
2017-05-27,291.0
2017-05-28,191.0
2017-05-29,137.0
2017-05-30,142.0
2017-05-31,129.0
2017-06-01,207.0
2017-06-02,281.0
2017-06-03,305.0
2017-06-04,312.0
2017-06-05,302.0
2017-06-06,315.0
2017-06-07,195.0
2017-06-08,112.0
2017-06-09,135.0
2017-06-10,199.0
2017-06-11,154.0
2017-06-12,146.0
2017-06-13,304.0
2017-06-14,271.0
2017-06-15,292.0
2017-06-16,215.0
2017-06-17,124.0
2017-06-18,95.0
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,311.0
2017-06-24,261.0
2017-06-25,242.0
2017-06-26,243.0
2017-06-27,194.0
2017-06-28,70.0
2017-06-29,76.0
2017-06-30,91.0
2017-07-01,75.0
2017-07-02,88.0
2017-07-03,93.0
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,114.0
2017-07-08,130.0
2017-07-09,208.0
2017-07-10,183.0
2017-07-11,
2017-07-12,
2017-07-13,94.0
2017-07-14,96.0
2017-07-15,89.0
2017-07-16,125.0
2017-07-17,
2017-07-18,123.0
2017-07-19,77.0
2017-07-20,
2017-07-21,83.0
2017-07-22,74.0
2017-07-23,86.0
2017-07-24,
2017-07-25,
2017-07-26,74.0
2017-07-27,
2017-07-28,
2017-07-29,151.0
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-09,
2017-09-10,
2017-09-11,86.0
2017-09-12,129.0
2017-09-13,174.0
2017-09-14,179.0
2017-09-15,135.0
2017-09-16,120.0
2017-09-17,95.0
2017-09-18,96.0
2017-09-19,130.0
2017-09-20,146.0
2017-09-21,135.0
2017-09-22,237.0
2017-09-23,145.0
2017-09-24,149.0
2017-09-25,135.0
2017-09-26,127.0
2017-09-27,219.0
2017-09-28,278.0
2017-09-29,
2017-09-30,
2017-10-01,
2017-10-02,
2017-10-03,185.0
2017-10-04,
2017-10-05,255.0
2017-10-06,275.0
2017-10-07,
2017-10-08,281.0
2017-10-09,298.0
2017-10-10,258.0
2017-10-11,296.0
2017-10-12,303.0
2017-10-13,297.0
2017-10-14,
2017-10-15,303.0
2017-10-16,321.0
2017-10-17,314.0
2017-10-18,322.0
2017-10-19,333.0
2017-10-20,362.0
2017-10-21,372.0
2017-10-22,314.0
2017-10-23,357.0
2017-10-24,359.0
2017-10-25,333.0
2017-10-26,115.0
2017-10-27,325.0
2017-10-28,353.0
2017-10-29,351.0
2017-10-30,330.0
2017-10-31,394.0
2017-11-01,360.0
2017-11-02,291.0
2017-11-03,333.0
2017-11-04,342.0
2017-11-05,361.0
2017-11-06,350.0
2017-11-07,459.0
2017-11-08,473.0
2017-11-09,499.0
2017-11-10,488.0
2017-11-11,426.0
2017-11-12,485.0
2017-11-13,484.0
2017-11-14,400.0
2017-11-15,366.0
2017-11-16,381.0
2017-11-17,333.0
2017-11-18,336.0
2017-11-19,330.0
2017-11-20,355.0
2017-11-21,336.0
2017-11-22,337.0
2017-11-23,358.0
2017-11-24,360.0
2017-11-25,352.0
2017-11-26,376.0
2017-11-27,393.0
2017-11-28,335.0
2017-11-29,316.0
2017-11-30,376.0
2017-12-01,376.0
2017-12-02,355.0
2017-12-03,373.0
2017-12-04,425.0
2017-12-05,409.0
2017-12-06,326.0
2017-12-07,264.0
2017-12-08,273.0
2017-12-09,312.0
2017-12-10,362.0
2017-12-11,364.0
2017-12-12,236.0
2017-12-13,300.0
2017-12-14,281.0
2017-12-15,298.0
2017-12-16,282.0
2017-12-17,244.0
2017-12-18,300.0
2017-12-19,330.0
2017-12-20,362.0
2017-12-21,425.0
2017-12-22,358.0
2017-12-23,313.0
2017-12-24,325.0
2017-12-25,417.0
2017-12-26,378.0
2017-12-27,324.0
2017-12-28,425.0
2017-12-29,415.0
2017-12-30,422.0
2017-12-31,405.0
2018-01-01,416.0
2018-01-02,415.0
2018-01-03,379.0
2018-01-04,339.0
2018-01-05,397.0
2018-01-06,398.0
2018-01-07,377.0
2018-01-08,361.0
2018-01-09,384.0
2018-01-10,374.0
2018-01-11,354.0
2018-01-12,349.0
2018-01-13,381.0
2018-01-14,363.0
2018-01-15,386.0
2018-01-16,327.0
2018-01-17,374.0
2018-01-18,388.0
2018-01-19,431.0
2018-01-20,409.0
2018-01-21,363.0
2018-01-22,411.0
2018-01-23,352.0
2018-01-24,323.0
2018-01-25,269.0
2018-01-26,257.0
2018-01-27,311.0
2018-01-28,325.0
2018-01-29,325.0
2018-01-30,337.0
2018-01-31,298.0
2018-02-01,299.0
2018-02-02,316.0
2018-02-03,302.0
2018-02-04,298.0
2018-02-05,329.0
2018-02-06,324.0
2018-02-07,262.0
2018-02-08,351.0
2018-02-09,347.0
2018-02-10,380.0
2018-02-11,333.0
2018-02-12,154.0
2018-02-13,171.0
2018-02-14,202.0
2018-02-15,212.0
2018-02-16,255.0
2018-02-17,283.0
2018-02-18,290.0
2018-02-19,295.0
2018-02-20,332.0
2018-02-21,364.0
2018-02-22,358.0
2018-02-23,328.0
2018-02-24,309.0
2018-02-25,269.0
2018-02-26,122.0
2018-02-27,146.0
