Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,
2017-02-05,
2017-02-06,
2017-02-07,
2017-02-08,
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,
2017-02-17,
2017-02-18,
2017-02-19,
2017-02-20,
2017-02-21,
2017-02-22,
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,
2017-03-04,
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,
2017-05-31,
2017-06-01,
2017-06-02,
2017-06-03,
2017-06-04,
2017-06-05,
2017-06-06,
2017-06-07,
2017-06-08,
2017-06-09,
2017-06-10,
2017-06-11,
2017-06-12,
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,
2017-06-29,
2017-06-30,
2017-07-01,
2017-07-02,
2017-07-03,
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,
2017-07-08,
2017-07-09,
2017-07-10,
2017-07-11,
2017-07-12,
2017-07-13,
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,
2017-07-26,
2017-07-27,
2017-07-28,
2017-07-29,
2017-07-30,
2017-07-31,
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,73.0
2017-09-02,70.0
2017-09-03,105.0
2017-09-04,114.0
2017-09-05,107.0
2017-09-06,114.0
2017-09-07,113.0
2017-09-08,229.0
2017-09-09,189.0
2017-09-10,262.0
2017-09-11,241.0
2017-09-12,139.0
2017-09-13,181.0
2017-09-14,234.0
2017-09-15,223.0
2017-09-16,151.0
2017-09-17,131.0
2017-09-18,130.0
2017-09-19,173.0
2017-09-20,236.0
2017-09-21,218.0
2017-09-22,48.0
2017-09-23,46.0
2017-09-24,67.0
2017-09-25,195.0
2017-09-26,220.0
2017-09-27,248.0
2017-09-28,235.0
2017-09-29,257.0
2017-09-30,235.0
2017-10-01,
2017-10-02,
2017-10-03,157.0
2017-10-04,264.0
2017-10-05,246.0
2017-10-06,208.0
2017-10-07,
2017-10-08,310.0
2017-10-09,319.0
2017-10-10,291.0
2017-10-11,345.0
2017-10-12,332.0
2017-10-13,318.0
2017-10-14,
2017-10-15,326.0
2017-10-16,330.0
2017-10-17,
2017-10-18,337.0
2017-10-19,322.0
2017-10-20,404.0
2017-10-21,
2017-10-22,338.0
2017-10-23,341.0
2017-10-24,333.0
2017-10-25,360.0
2017-10-26,358.0
2017-10-27,343.0
2017-10-28,374.0
2017-10-29,
2017-10-30,
2017-10-31,352.0
2017-11-01,363.0
2017-11-02,325.0
2017-11-03,342.0
2017-11-04,349.0
2017-11-05,365.0
2017-11-06,364.0
2017-11-07,468.0
2017-11-08,500.0
2017-11-09,500.0
2017-11-10,471.0
2017-11-11,416.0
2017-11-12,499.0
2017-11-13,459.0
2017-11-14,403.0
2017-11-15,365.0
2017-11-16,356.0
2017-11-17,307.0
2017-11-18,307.0
2017-11-19,291.0
2017-11-20,310.0
2017-11-21,317.0
2017-11-22,336.0
2017-11-23,309.0
2017-11-24,350.0
2017-11-25,341.0
2017-11-26,376.0
2017-11-27,348.0
2017-11-28,348.0
2017-11-29,375.0
2017-11-30,367.0
2017-12-01,343.0
2017-12-02,363.0
2017-12-03,348.0
2017-12-04,389.0
2017-12-05,384.0
2017-12-06,314.0
2017-12-07,254.0
2017-12-08,250.0
2017-12-09,288.0
2017-12-10,
2017-12-11,376.0
2017-12-12,240.0
2017-12-13,272.0
2017-12-14,294.0
2017-12-15,290.0
2017-12-16,123.0
2017-12-17,122.0
2017-12-18,120.0
2017-12-19,289.0
2017-12-20,350.0
2017-12-21,433.0
2017-12-22,308.0
2017-12-23,
2017-12-24,291.0
2017-12-25,314.0
2017-12-26,305.0
2017-12-27,
2017-12-28,436.0
2017-12-29,431.0
2017-12-30,425.0
2017-12-31,472.0
2018-01-01,403.0
2018-01-02,468.0
2018-01-03,407.0
2018-01-04,431.0
2018-01-05,419.0
2018-01-06,436.0
2018-01-07,372.0
2018-01-08,304.0
2018-01-09,387.0
2018-01-10,374.0
2018-01-11,317.0
2018-01-12,343.0
2018-01-13,404.0
2018-01-14,385.0
2018-01-15,353.0
2018-01-16,267.0
2018-01-17,380.0
2018-01-18,473.0
2018-01-19,439.0
2018-01-20,307.0
2018-01-21,309.0
2018-01-22,342.0
2018-01-23,320.0
2018-01-24,269.0
2018-01-25,249.0
2018-01-26,258.0
2018-01-27,322.0
2018-01-28,281.0
2018-01-29,312.0
2018-01-30,262.0
2018-01-31,235.0
2018-02-01,306.0
2018-02-02,257.0
2018-02-03,184.0
2018-02-04,241.0
2018-02-05,260.0
2018-02-06,271.0
2018-02-07,236.0
2018-02-08,297.0
2018-02-09,303.0
2018-02-10,283.0
2018-02-11,282.0
2018-02-12,156.0
2018-02-13,169.0
2018-02-14,187.0
2018-02-15,196.0
2018-02-16,206.0
2018-02-17,200.0
2018-02-18,266.0
2018-02-19,264.0
2018-02-20,167.0
2018-02-21,220.0
2018-02-22,194.0
2018-02-23,228.0
2018-02-24,252.0
2018-02-25,210.0
2018-02-26,120.0
2018-02-27,126.0
2018-02-28,258.0
2018-03-01,247.0
2018-03-02,274.0
2018-03-03,194.0
2018-03-04,192.0
2018-03-05,191.0
2018-03-06,170.0
2018-03-07,173.0
2018-03-08,267.0
2018-03-09,327.0
2018-03-10,215.0
2018-03-11,242.0
2018-03-12,159.0
2018-03-13,264.0
2018-03-14,331.0
2018-03-15,349.0
2018-03-16,
2018-03-17,168.0
2018-03-18,177.0
2018-03-19,179.0
2018-03-20,201.0
2018-03-21,295.0
2018-03-22,169.0
2018-03-23,154.0
2018-03-24,170.0
2018-03-25,176.0
2018-03-26,168.0
2018-03-27,233.0
2018-03-28,278.0
2018-03-29,237.0
2018-03-30,313.0
2018-03-31,270.0
2018-04-01,207.0
2018-04-02,208.0
2018-04-03,233.0
2018-04-04,265.0
2018-04-05,339.0
2018-04-06,235.0
2018-04-07,136.0
