Datetime,AQI
2017-01-01,
2017-01-02,
2017-01-03,311.0
2017-01-04,366.0
2017-01-05,256.0
2017-01-06,326.0
2017-01-07,200.0
2017-01-08,271.0
2017-01-09,311.0
2017-01-10,235.0
2017-01-11,255.0
2017-01-12,334.0
2017-01-13,330.0
2017-01-14,386.0
2017-01-15,327.0
2017-01-16,359.0
2017-01-17,162.0
2017-01-18,306.0
2017-01-19,266.0
2017-01-20,170.0
2017-01-21,270.0
2017-01-22,361.0
2017-01-23,316.0
2017-01-24,
2017-01-25,
2017-01-26,304.0
2017-01-27,73.0
2017-01-28,231.0
2017-01-29,186.0
2017-01-30,
2017-01-31,361.0
2017-02-01,252.0
2017-02-02,347.0
2017-02-03,317.0
2017-02-04,353.0
2017-02-05,278.0
2017-02-06,357.0
2017-02-07,174.0
2017-02-08,284.0
2017-02-09,310.0
2017-02-10,281.0
2017-02-11,251.0
2017-02-12,316.0
2017-02-13,327.0
2017-02-14,309.0
2017-02-15,338.0
2017-02-16,317.0
2017-02-17,298.0
2017-02-18,270.0
2017-02-19,297.0
2017-02-20,366.0
2017-02-21,324.0
2017-02-22,282.0
2017-02-23,
2017-02-24,222.0
2017-02-25,189.0
2017-02-26,265.0
2017-02-27,230.0
2017-02-28,372.0
2017-03-01,364.0
2017-03-02,332.0
2017-03-03,210.0
2017-03-04,189.0
2017-03-05,190.0
2017-03-06,182.0
2017-03-07,260.0
2017-03-08,257.0
2017-03-09,
2017-03-10,102.0
2017-03-11,61.0
2017-03-12,135.0
2017-03-13,148.0
2017-03-14,146.0
2017-03-15,273.0
2017-03-16,279.0
2017-03-17,299.0
2017-03-18,324.0
2017-03-19,334.0
2017-03-20,281.0
2017-03-21,318.0
2017-03-22,319.0
2017-03-23,351.0
2017-03-24,351.0
2017-03-25,208.0
2017-03-26,203.0
2017-03-27,217.0
2017-03-28,273.0
2017-03-29,
2017-03-30,212.0
2017-03-31,234.0
2017-04-01,307.0
2017-04-02,222.0
2017-04-03,213.0
2017-04-04,245.0
2017-04-05,152.0
2017-04-06,147.0
2017-04-07,421.0
2017-04-08,219.0
2017-04-09,205.0
2017-04-10,169.0
2017-04-11,217.0
2017-04-12,270.0
2017-04-13,357.0
2017-04-14,343.0
2017-04-15,400.0
2017-04-16,372.0
2017-04-17,357.0
2017-04-18,
2017-04-19,365.0
2017-04-20,185.0
2017-04-21,105.0
2017-04-22,110.0
2017-04-23,85.0
2017-04-24,64.0
2017-04-25,53.0
2017-04-26,83.0
2017-04-27,
2017-04-28,236.0
2017-04-29,220.0
2017-04-30,226.0
2017-05-01,160.0
2017-05-02,285.0
2017-05-03,328.0
2017-05-04,262.0
2017-05-05,339.0
2017-05-06,340.0
2017-05-07,369.0
2017-05-08,353.0
2017-05-09,305.0
2017-05-10,194.0
2017-05-11,
2017-05-12,468.0
2017-05-13,395.0
2017-05-14,345.0
2017-05-15,315.0
2017-05-16,344.0
2017-05-17,245.0
2017-05-18,290.0
2017-05-19,281.0
2017-05-20,261.0
2017-05-21,375.0
2017-05-22,255.0
2017-05-23,72.0
2017-05-24,141.0
2017-05-25,153.0
2017-05-26,249.0
2017-05-27,208.0
2017-05-28,144.0
2017-05-29,
2017-05-30,264.0
2017-05-31,124.0
2017-06-01,280.0
2017-06-02,90.0
2017-06-03,113.0
2017-06-04,101.0
2017-06-05,133.0
2017-06-06,
2017-06-07,150.0
2017-06-08,168.0
2017-06-09,146.0
2017-06-10,172.0
2017-06-11,134.0
2017-06-12,140.0
2017-06-13,106.0
2017-06-14,105.0
2017-06-15,110.0
2017-06-16,179.0
2017-06-17,99.0
2017-06-18,80.0
2017-06-19,94.0
2017-06-20,83.0
2017-06-21,97.0
2017-06-22,106.0
2017-06-23,99.0
2017-06-24,108.0
2017-06-25,158.0
2017-06-26,77.0
2017-06-27,115.0
2017-06-28,104.0
2017-06-29,89.0
2017-06-30,80.0
2017-07-01,70.0
2017-07-02,56.0
2017-07-03,64.0
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,133.0
2017-07-08,106.0
2017-07-09,142.0
2017-07-10,111.0
2017-07-11,91.0
2017-07-12,64.0
2017-07-13,67.0
2017-07-14,45.0
2017-07-15,49.0
2017-07-16,66.0
2017-07-17,64.0
2017-07-18,85.0
2017-07-19,98.0
2017-07-20,96.0
2017-07-21,86.0
2017-07-22,78.0
2017-07-23,120.0
2017-07-24,55.0
2017-07-25,60.0
2017-07-26,59.0
2017-07-27,
2017-07-28,55.0
2017-07-29,124.0
2017-07-30,81.0
2017-07-31,79.0
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,116.0
2017-08-25,141.0
2017-08-26,102.0
2017-08-27,110.0
2017-08-28,77.0
2017-08-29,85.0
2017-08-30,81.0
2017-08-31,85.0
2017-09-01,79.0
2017-09-02,74.0
2017-09-03,86.0
2017-09-04,122.0
2017-09-05,99.0
2017-09-06,69.0
2017-09-07,
2017-09-08,182.0
2017-09-09,
2017-09-10,
2017-09-11,
2017-09-12,136.0
2017-09-13,146.0
2017-09-14,187.0
2017-09-15,246.0
2017-09-16,185.0
2017-09-17,152.0
2017-09-18,101.0
2017-09-19,119.0
2017-09-20,128.0
2017-09-21,224.0
2017-09-22,74.0
2017-09-23,84.0
2017-09-24,102.0
2017-09-25,95.0
2017-09-26,124.0
2017-09-27,187.0
2017-09-28,179.0
2017-09-29,145.0
2017-09-30,153.0
2017-10-01,167.0
2017-10-02,152.0
2017-10-03,202.0
2017-10-04,240.0
2017-10-05,311.0
2017-10-06,311.0
2017-10-07,
2017-10-08,310.0
2017-10-09,342.0
2017-10-10,333.0
2017-10-11,334.0
2017-10-12,336.0
2017-10-13,345.0
2017-10-14,
2017-10-15,347.0
2017-10-16,357.0
2017-10-17,353.0
2017-10-18,340.0
2017-10-19,367.0
2017-10-20,396.0
2017-10-21,398.0
2017-10-22,338.0
2017-10-23,352.0
2017-10-24,356.0
2017-10-25,373.0
2017-10-26,353.0
2017-10-27,333.0
2017-10-28,329.0
2017-10-29,352.0
2017-10-30,354.0
2017-10-31,381.0
2017-11-01,337.0
2017-11-02,443.0
2017-11-03,340.0
2017-11-04,358.0
2017-11-05,380.0
2017-11-06,386.0
2017-11-07,481.0
2017-11-08,492.0
2017-11-09,477.0
2017-11-10,484.0
2017-11-11,454.0
2017-11-12,499.0
2017-11-13,487.0
2017-11-14,429.0
2017-11-15,365.0
2017-11-16,359.0
2017-11-17,299.0
2017-11-18,303.0
2017-11-19,280.0
2017-11-20,312.0
2017-11-21,324.0
2017-11-22,314.0
2017-11-23,349.0
2017-11-24,383.0
2017-11-25,359.0
2017-11-26,395.0
2017-11-27,356.0
2017-11-28,333.0
2017-11-29,353.0
2017-11-30,409.0
2017-12-01,368.0
2017-12-02,347.0
2017-12-03,389.0
2017-12-04,422.0
2017-12-05,406.0
2017-12-06,270.0
2017-12-07,207.0
2017-12-08,211.0
2017-12-09,324.0
2017-12-10,374.0
2017-12-11,391.0
2017-12-12,212.0
2017-12-13,221.0
2017-12-14,205.0
2017-12-15,240.0
2017-12-16,192.0
2017-12-17,163.0
2017-12-18,173.0
2017-12-19,256.0
2017-12-20,370.0
2017-12-21,443.0
2017-12-22,325.0
2017-12-23,204.0
2017-12-24,318.0
2017-12-25,418.0
2017-12-26,390.0
2017-12-27,428.0
2017-12-28,417.0
2017-12-29,371.0
2017-12-30,449.0
2017-12-31,449.0
2018-01-01,457.0
2018-01-02,470.0
2018-01-03,377.0
2018-01-04,348.0
2018-01-05,380.0
2018-01-06,395.0
2018-01-07,339.0
2018-01-08,120.0
2018-01-09,372.0
2018-01-10,273.0
2018-01-11,297.0
2018-01-12,147.0
2018-01-13,305.0
2018-01-14,254.0
2018-01-15,252.0
2018-01-16,347.0
2018-01-17,432.0
2018-01-18,419.0
2018-01-19,372.0
2018-01-20,294.0
2018-01-21,264.0
2018-01-22,348.0
2018-01-23,292.0
2018-01-24,244.0
2018-01-25,278.0
2018-01-26,291.0
2018-01-27,318.0
2018-01-28,301.0
2018-01-29,316.0
2018-01-30,257.0
2018-01-31,241.0
2018-02-01,284.0
2018-02-02,266.0
2018-02-03,222.0
2018-02-04,202.0
2018-02-05,252.0
2018-02-06,211.0
2018-02-07,211.0
2018-02-08,234.0
2018-02-09,243.0
