Datetime,AQI
2017-01-01,354.0
2017-01-02,354.0
2017-01-03,377.0
2017-01-04,372.0
2017-01-05,323.0
2017-01-06,348.0
2017-01-07,291.0
2017-01-08,296.0
2017-01-09,309.0
2017-01-10,271.0
2017-01-11,275.0
2017-01-12,342.0
2017-01-13,370.0
2017-01-14,440.0
2017-01-15,361.0
2017-01-16,381.0
2017-01-17,324.0
2017-01-18,364.0
2017-01-19,386.0
2017-01-20,377.0
2017-01-21,422.0
2017-01-22,421.0
2017-01-23,386.0
2017-01-24,385.0
2017-01-25,392.0
2017-01-26,337.0
2017-01-27,98.0
2017-01-28,243.0
2017-01-29,236.0
2017-01-30,
2017-01-31,356.0
2017-02-01,264.0
2017-02-02,312.0
2017-02-03,328.0
2017-02-04,338.0
2017-02-05,324.0
2017-02-06,356.0
2017-02-07,149.0
2017-02-08,
2017-02-09,285.0
2017-02-10,266.0
2017-02-11,259.0
2017-02-12,279.0
2017-02-13,310.0
2017-02-14,308.0
2017-02-15,321.0
2017-02-16,317.0
2017-02-17,500.0
2017-02-18,282.0
2017-02-19,224.0
2017-02-20,255.0
2017-02-21,224.0
2017-02-22,182.0
2017-02-23,159.0
2017-02-24,435.0
2017-02-25,473.0
2017-02-26,434.0
2017-02-27,500.0
2017-02-28,
2017-03-01,286.0
2017-03-02,238.0
2017-03-03,116.0
2017-03-04,179.0
2017-03-05,186.0
2017-03-06,166.0
2017-03-07,199.0
2017-03-08,129.0
2017-03-09,
2017-03-10,64.0
2017-03-11,62.0
2017-03-12,99.0
2017-03-13,172.0
2017-03-14,
2017-03-15,211.0
2017-03-16,190.0
2017-03-17,211.0
2017-03-18,172.0
2017-03-19,195.0
2017-03-20,237.0
2017-03-21,210.0
2017-03-22,199.0
2017-03-23,251.0
2017-03-24,228.0
2017-03-25,135.0
2017-03-26,171.0
2017-03-27,148.0
2017-03-28,212.0
2017-03-29,
2017-03-30,147.0
2017-03-31,163.0
2017-04-01,200.0
2017-04-02,171.0
2017-04-03,120.0
2017-04-04,133.0
2017-04-05,75.0
2017-04-06,
2017-04-07,307.0
2017-04-08,274.0
2017-04-09,99.0
2017-04-10,188.0
2017-04-11,196.0
2017-04-12,
2017-04-13,
2017-04-14,256.0
2017-04-15,258.0
2017-04-16,276.0
2017-04-17,
2017-04-18,289.0
2017-04-19,183.0
2017-04-20,206.0
2017-04-21,224.0
2017-04-22,271.0
2017-04-23,198.0
2017-04-24,129.0
2017-04-25,150.0
2017-04-26,119.0
2017-04-27,
2017-04-28,120.0
2017-04-29,142.0
2017-04-30,146.0
2017-05-01,
2017-05-02,
2017-05-03,281.0
2017-05-04,158.0
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,295.0
2017-05-10,142.0
2017-05-11,
2017-05-12,
2017-05-13,309.0
2017-05-14,
2017-05-15,171.0
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,200.0
2017-05-25,
2017-05-26,216.0
2017-05-27,126.0
2017-05-28,74.0
2017-05-29,79.0
2017-05-30,93.0
2017-05-31,82.0
2017-06-01,169.0
2017-06-02,210.0
2017-06-03,187.0
2017-06-04,181.0
2017-06-05,99.0
2017-06-06,96.0
2017-06-07,75.0
2017-06-08,84.0
2017-06-09,111.0
2017-06-10,158.0
2017-06-11,93.0
2017-06-12,115.0
2017-06-13,119.0
2017-06-14,114.0
2017-06-15,
2017-06-16,115.0
2017-06-17,92.0
2017-06-18,85.0
2017-06-19,168.0
2017-06-20,115.0
2017-06-21,98.0
2017-06-22,112.0
2017-06-23,
2017-06-24,98.0
2017-06-25,164.0
2017-06-26,100.0
2017-06-27,66.0
2017-06-28,77.0
