Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,199.51,360.57,232.46,78.62,303.85,93.37,23.61,3.36,22.92,13.6,45.31,,,,,16.64,66.89,1.06,130.69,,0.0,146.85,740.0,,2017-01-01
2017-01-02 00:00:00,257.28,523.49,249.12,87.67,410.95,100.95,21.93,3.67,21.11,18.2,39.74,,,,,17.79,62.74,0.59,172.77,,0.0,142.96,740.0,,2017-01-02
2017-01-03 00:00:00,271.59,559.4,331.69,114.92,,104.43,23.64,4.42,11.79,23.34,45.71,,,,,17.85,63.48,0.41,236.44,,0.0,141.95,740.0,,2017-01-03
2017-01-04 00:00:00,270.06,464.78,445.24,99.12,,116.03,23.7,5.63,13.25,20.8,55.37,,,,,18.1,62.97,0.95,163.47,,0.0,144.07,740.0,,2017-01-04
2017-01-05 00:00:00,246.56,510.82,206.74,115.9,379.88,115.6,23.63,3.66,13.46,12.85,31.07,,,,,18.94,62.54,0.39,181.95,,0.0,140.4,740.0,,2017-01-05
2017-01-06 00:00:00,189.35,321.78,73.93,68.37,124.04,110.12,19.46,2.47,16.13,8.09,22.19,,,,,17.83,67.66,2.19,103.17,,0.0,144.62,740.0,,2017-01-06
2017-01-07 00:00:00,144.04,182.89,22.21,39.24,57.46,64.28,21.09,2.07,12.31,6.31,14.93,,,,,14.32,78.33,2.81,97.09,,0.0,113.1,740.0,,2017-01-07
2017-01-08 00:00:00,145.21,313.98,69.26,60.27,133.41,50.57,41.26,1.97,17.46,7.15,21.32,,,,,14.92,68.01,0.85,138.91,,0.0,171.72,740.0,,2017-01-08
2017-01-09 00:00:00,132.78,413.02,102.51,73.12,202.13,53.58,29.29,2.17,18.06,8.23,15.86,,,,,14.91,60.74,0.45,248.14,,0.0,174.73,740.0,,2017-01-09
2017-01-10 00:00:00,105.29,435.12,122.79,80.38,238.82,43.25,25.47,2.27,26.95,6.67,14.18,,,,,13.31,44.84,0.81,284.64,,0.0,174.93,740.0,,2017-01-10
2017-01-11 00:00:00,157.09,506.02,125.64,89.08,250.99,44.71,26.89,2.34,25.61,8.66,15.29,,,,,12.04,43.68,0.7,258.96,,0.0,176.61,740.0,,2017-01-11
2017-01-12 00:00:00,272.76,676.05,205.91,104.39,374.21,62.47,76.21,3.48,20.72,13.91,23.55,,,,,12.07,51.8,0.49,247.83,,0.0,173.18,740.0,,2017-01-12
2017-01-13 00:00:00,228.16,608.58,192.66,102.97,354.87,61.76,29.4,2.88,21.97,12.5,25.3,,,,,13.21,49.2,0.54,260.22,,0.0,182.94,740.0,,2017-01-13
2017-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-14
2017-01-15 00:00:00,238.89,534.46,,,,,38.69,2.39,39.15,10.28,24.0,,,,,19.24,36.79,0.76,149.7,,0.0,215.7,740.0,,2017-01-15
2017-01-16 00:00:00,180.16,403.16,71.86,76.78,166.51,76.68,26.18,3.2,20.13,8.05,16.43,,,,,14.52,55.43,1.1,221.28,,0.0,164.89,740.0,,2017-01-16
2017-01-17 00:00:00,136.19,316.03,80.98,62.02,159.07,57.5,21.17,2.11,19.35,8.7,15.32,,,,,11.24,65.18,1.02,271.04,,0.0,163.42,740.0,,2017-01-17
2017-01-18 00:00:00,180.22,386.71,,,,,27.73,2.24,18.66,20.76,40.65,,,,,13.01,61.15,0.64,234.87,,0.0,173.34,740.0,,2017-01-18
2017-01-19 00:00:00,144.55,331.54,,,,,27.5,2.03,21.39,20.48,40.64,,,,,14.34,55.68,1.13,283.65,,0.0,169.6,740.0,,2017-01-19
2017-01-20 00:00:00,115.57,283.21,88.88,93.97,205.14,47.56,24.26,1.82,26.9,16.34,31.13,,,,,14.52,53.21,1.2,286.48,,0.0,212.14,740.0,,2017-01-20
2017-01-21 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-21
2017-01-22 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-22
2017-01-23 00:00:00,144.36,487.64,136.16,101.44,276.27,68.6,25.49,2.2,20.13,13.7,35.8,,,,,20.13,46.27,0.68,250.64,,0.0,190.51,,,2017-01-23
2017-01-24 00:00:00,245.32,674.75,294.23,122.24,,82.14,32.74,4.31,18.88,18.26,61.34,,,,,19.02,55.53,0.45,213.79,,0.0,170.39,740.0,,2017-01-24
2017-01-25 00:00:00,240.53,498.66,193.54,86.74,246.07,106.46,28.53,1.92,22.87,13.87,57.32,,,,,19.72,59.26,1.85,118.38,,0.0,166.38,740.0,,2017-01-25
2017-01-26 00:00:00,128.73,187.39,42.74,59.29,99.23,83.24,28.12,0.62,12.75,8.89,28.58,,,,,17.7,74.09,1.79,126.84,,0.0,73.8,740.0,,2017-01-26
2017-01-27 00:00:00,61.34,87.3,93.18,57.27,175.23,56.47,21.67,1.91,11.91,6.13,14.24,,,,,15.64,72.14,1.04,268.15,,0.0,170.42,740.0,,2017-01-27
2017-01-28 00:00:00,110.4,161.17,92.67,62.37,181.75,46.55,20.87,1.44,13.91,10.83,21.3,,,,,15.13,71.92,0.95,281.86,,0.0,183.04,740.0,,2017-01-28
2017-01-29 00:00:00,123.45,194.82,110.56,70.81,212.42,43.93,20.81,1.6,16.85,8.19,17.52,,,,,16.21,69.36,0.78,282.85,,0.0,187.64,740.0,,2017-01-29
2017-01-30 00:00:00,208.2,364.61,221.59,92.22,384.36,55.84,23.22,2.57,16.59,12.93,26.78,,,,,16.91,67.5,0.35,218.34,,0.0,187.32,740.0,,2017-01-30
2017-01-31 00:00:00,216.94,415.3,203.6,82.24,350.88,75.04,31.12,2.22,16.5,11.04,34.75,,,,,17.88,64.17,0.52,227.05,,0.0,187.74,740.0,,2017-01-31
2017-02-01 00:00:00,146.49,381.6,217.08,86.9,373.83,75.03,23.61,2.57,15.79,9.68,20.59,,,,,16.89,64.19,0.67,250.92,,0.0,188.52,740.0,,2017-02-01
2017-02-02 00:00:00,226.22,687.84,310.26,107.32,,91.31,22.1,3.63,18.84,18.05,42.73,,,,,17.54,59.83,0.45,205.45,,0.0,185.88,740.0,,2017-02-02
2017-02-03 00:00:00,214.94,749.57,254.08,108.24,443.16,102.79,28.55,3.97,21.38,11.42,33.33,,,,,18.39,58.03,0.38,159.99,,0.0,186.21,740.0,,2017-02-03
2017-02-04 00:00:00,216.01,448.46,160.49,75.71,199.18,108.03,21.38,2.81,13.47,7.0,30.04,,,,,18.05,66.17,2.06,106.76,,0.0,185.05,740.0,,2017-02-04
2017-02-05 00:00:00,166.2,332.93,172.51,62.31,162.1,78.21,23.28,2.96,13.84,4.92,18.11,,,,,18.49,64.93,2.0,110.21,,0.0,177.3,740.0,,2017-02-05
2017-02-06 00:00:00,193.23,519.69,129.08,68.21,237.05,77.17,21.76,3.02,13.71,8.23,19.84,,,,,18.12,60.61,0.99,235.66,,0.0,186.64,740.0,,2017-02-06
2017-02-07 00:00:00,82.39,354.24,72.5,68.26,157.62,49.43,21.53,2.48,16.67,4.36,10.29,,,,,16.61,49.67,1.24,288.06,,0.0,196.25,740.0,,2017-02-07
2017-02-08 00:00:00,139.16,562.64,99.66,88.84,214.26,50.4,21.64,2.72,15.61,6.91,14.58,,,,,18.07,49.34,0.58,249.97,,0.0,187.26,740.0,,2017-02-08
2017-02-09 00:00:00,154.08,478.05,100.12,71.89,191.41,56.46,23.64,2.58,15.13,6.25,12.47,,,,,17.31,52.9,0.86,224.61,,0.0,188.38,740.0,,2017-02-09
2017-02-10 00:00:00,106.8,384.34,99.36,75.88,199.08,51.96,22.65,2.3,15.26,5.89,13.08,,,,,17.4,50.88,1.19,285.94,,0.0,189.5,740.0,,2017-02-10
2017-02-11 00:00:00,139.83,475.25,124.56,90.69,250.73,49.41,25.05,2.4,15.75,7.12,14.55,,,,,18.31,46.24,0.58,253.27,,0.0,251.0,740.0,,2017-02-11
2017-02-12 00:00:00,113.11,322.25,28.22,106.36,127.82,54.9,42.63,2.22,15.2,4.66,10.92,,,,,21.35,40.59,0.64,192.36,,0.0,213.91,740.0,,2017-02-12
2017-02-13 00:00:00,123.38,434.29,103.88,110.84,229.56,56.56,29.94,2.53,11.92,7.58,17.14,,,,,19.12,46.69,0.55,242.12,,0.0,186.64,740.0,,2017-02-13
2017-02-14 00:00:00,139.29,500.51,131.4,125.18,289.01,67.07,28.36,3.02,11.39,10.63,25.51,,,,,19.45,47.79,0.8,272.08,,0.0,189.72,740.0,,2017-02-14
2017-02-15 00:00:00,157.92,576.91,168.32,129.72,345.45,77.86,23.9,2.68,10.3,13.63,27.43,,,,,20.42,49.14,0.59,263.69,,0.0,182.06,740.0,,2017-02-15
2017-02-16 00:00:00,130.08,393.45,106.99,120.01,253.04,76.34,26.71,2.54,9.48,7.65,17.69,,,,,21.74,46.17,0.91,274.1,,0.0,180.93,740.0,,2017-02-16
2017-02-17 00:00:00,122.18,413.71,131.52,115.41,282.33,84.24,23.48,2.76,9.59,7.63,15.72,,,,,21.3,51.8,0.87,269.0,,0.0,187.54,740.0,,2017-02-17
2017-02-18 00:00:00,116.91,431.12,144.24,114.88,299.35,93.11,23.44,2.12,10.03,9.39,22.06,,,,,23.26,54.13,0.74,276.85,,0.0,191.32,740.0,,2017-02-18
2017-02-19 00:00:00,145.74,565.45,197.04,109.38,366.53,99.29,25.92,3.27,10.8,9.84,22.86,,,,,24.46,50.17,0.57,230.84,,0.0,188.78,740.0,,2017-02-19
2017-02-20 00:00:00,153.02,601.57,197.06,112.73,369.52,97.06,37.4,3.57,22.77,10.1,41.43,,,,,25.63,45.07,0.61,175.27,,0.0,184.79,740.0,,2017-02-20
2017-02-21 00:00:00,107.63,389.2,108.38,108.81,244.94,112.38,25.28,2.31,10.57,7.45,15.17,,,,,22.45,56.3,1.03,249.99,,0.0,182.6,740.0,,2017-02-21
2017-02-22 00:00:00,92.28,382.56,156.07,120.74,320.79,79.11,27.71,2.67,21.28,5.9,18.33,,,,,22.21,42.65,0.74,171.53,,0.0,189.9,740.0,,2017-02-22
2017-02-23 00:00:00,76.54,230.21,97.31,108.24,223.05,69.78,22.78,1.32,10.13,6.21,13.0,,,,,18.06,42.31,0.71,202.71,,0.0,146.71,740.0,,2017-02-23
2017-02-24 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-24
2017-02-25 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-25
2017-02-26 00:00:00,69.32,300.64,104.38,130.38,258.74,47.11,26.4,2.61,9.43,5.65,14.31,,,,,24.26,30.27,1.13,284.07,,0.0,239.15,740.0,,2017-02-26
2017-02-27 00:00:00,98.93,361.16,129.47,122.26,285.75,61.4,25.1,2.82,9.86,7.69,16.23,,,,,22.45,38.15,0.61,234.57,,0.0,192.28,740.0,,2017-02-27
2017-02-28 00:00:00,165.5,679.51,333.5,143.52,,79.83,29.69,3.82,33.36,11.52,37.47,,,,,24.46,39.29,0.54,138.64,,0.0,193.37,740.0,,2017-02-28
2017-03-01 00:00:00,93.81,448.14,191.52,111.07,304.67,83.96,30.19,4.07,39.6,8.92,36.26,,,,,24.42,41.77,1.28,135.98,,0.0,191.07,740.0,,2017-03-01
2017-03-02 00:00:00,126.85,349.37,67.8,99.15,163.28,84.28,37.31,1.71,17.68,6.11,15.85,,,,,23.83,47.88,0.76,164.72,,0.0,188.0,740.0,,2017-03-02
2017-03-03 00:00:00,69.49,226.37,63.01,94.66,168.77,60.9,27.38,2.04,12.6,5.53,12.36,,,,,22.92,37.96,0.76,179.98,,0.0,198.69,740.0,,2017-03-03
