Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,232.22,,26.37,25.29,44.63,,,,,,,,,,,,79.52,0.39,139.79,,0.0,86.83,,,2017-01-01
2017-01-02 00:00:00,203.47,,23.76,25.73,42.74,,,,,,,,,,,,72.74,0.31,116.69,,0.0,106.3,,,2017-01-02
2017-01-03 00:00:00,287.74,,25.06,24.02,42.88,,,,,,,,,,,,78.48,0.32,207.81,,0.0,91.66,,,2017-01-03
2017-01-04 00:00:00,348.77,,38.98,24.69,54.56,,,,,,,,,,,,68.85,0.31,95.64,,0.0,100.89,,,2017-01-04
2017-01-05 00:00:00,239.7,,33.38,25.24,50.29,,,,,,,,,,,,72.21,0.28,184.57,,0.0,102.58,,,2017-01-05
2017-01-06 00:00:00,201.1,,34.0,94.45,87.62,,,,,,,,,,,,71.62,0.48,112.8,,0.0,98.66,,,2017-01-06
2017-01-07 00:00:00,150.97,,64.9,132.38,132.93,,,,,,,,,,,,87.63,0.64,96.19,,0.0,31.79,,,2017-01-07
2017-01-08 00:00:00,137.82,,73.39,106.78,126.21,,,,,,,,,,,,82.69,0.35,170.67,,0.0,112.28,,,2017-01-08
2017-01-09 00:00:00,146.32,,83.03,109.11,135.28,,,,,,,,,,,,78.77,0.29,221.47,,0.0,117.07,,,2017-01-09
2017-01-10 00:00:00,142.51,,65.38,113.2,123.1,,,,,,,,,,,,57.75,0.38,226.92,,0.0,160.34,,,2017-01-10
2017-01-11 00:00:00,214.36,,55.21,100.18,107.91,,,,,,,,,,,,58.36,0.43,230.73,,0.0,140.37,,,2017-01-11
2017-01-12 00:00:00,297.32,,49.89,79.31,92.48,,,,,,,,,,,,65.17,0.37,209.36,,0.0,134.57,,,2017-01-12
2017-01-13 00:00:00,301.24,,93.53,76.49,123.58,,,,,,,,,,,,61.26,0.33,228.71,,0.0,144.79,,,2017-01-13
2017-01-14 00:00:00,311.4,,217.6,71.96,215.19,,,,,,,,,,,,62.34,0.36,213.35,,0.0,103.43,,,2017-01-14
2017-01-15 00:00:00,266.99,,223.43,57.35,212.17,,,,,,,,,,,,64.56,0.25,171.25,,0.0,112.07,,,2017-01-15
2017-01-16 00:00:00,193.3,,127.7,28.38,119.04,,,,,,,,,,,,69.9,0.48,225.57,,0.0,114.57,,,2017-01-16
2017-01-17 00:00:00,142.52,,131.36,34.81,125.31,,,,,,,,,,,,80.74,0.4,253.45,,0.0,92.87,,,2017-01-17
2017-01-18 00:00:00,195.75,,126.18,33.19,120.24,,,,,,,,,,,,74.98,0.33,256.96,,0.0,133.87,,,2017-01-18
2017-01-19 00:00:00,161.82,,121.48,32.93,116.28,,,,,,,,,,,,68.78,0.42,266.22,,0.0,151.18,,,2017-01-19
2017-01-20 00:00:00,156.23,,77.63,61.08,106.5,,,,,,,,,,,,66.47,0.46,253.33,,0.0,152.45,,,2017-01-20
2017-01-21 00:00:00,300.01,,35.83,67.54,64.11,,,,,,,,,,,,74.58,0.34,234.51,,0.0,80.71,,,2017-01-21
2017-01-22 00:00:00,222.5,,35.36,48.27,53.79,,,,,,,,,,,,74.7,0.3,213.02,,0.0,112.88,,,2017-01-22
2017-01-23 00:00:00,183.24,,34.45,47.81,52.81,,,,,,,,,,,,71.55,0.39,220.82,,0.0,129.09,,,2017-01-23
2017-01-24 00:00:00,221.04,,44.08,57.64,65.79,,,,,,,,,,,,66.7,0.4,154.68,,0.0,122.7,,,2017-01-24
2017-01-25 00:00:00,225.46,,43.92,81.48,78.14,,,,,,,,,,,,64.26,0.57,115.47,,0.0,89.44,,,2017-01-25
2017-01-26 00:00:00,136.26,,13.1,43.37,33.12,,,,,,,,,,,,88.19,0.53,112.51,,0.0,13.3,,,2017-01-26
2017-01-27 00:00:00,79.61,,14.13,37.05,30.66,,,,,,,,,,,,83.19,0.48,248.01,,0.0,109.81,,,2017-01-27
2017-01-28 00:00:00,121.93,,19.42,35.74,34.26,,,,,,,,,,,,86.1,0.44,244.61,,0.0,99.5,,,2017-01-28
2017-01-29 00:00:00,136.71,,19.94,38.62,36.2,,,,,,,,,,,,82.5,0.58,233.1,,0.0,133.15,,,2017-01-29
2017-01-30 00:00:00,200.62,,45.42,50.14,62.95,,,,,,,,,,,,82.08,0.38,215.67,,0.0,129.28,,,2017-01-30
2017-01-31 00:00:00,238.4,,80.81,48.83,91.03,,,,,,,,,,,,76.97,0.33,223.82,,0.0,154.18,,,2017-01-31
2017-02-01 00:00:00,184.52,,43.36,47.11,59.68,,,,,,,,,,,,80.93,0.45,216.1,,0.0,133.37,,,2017-02-01
2017-02-02 00:00:00,224.7,,58.13,51.18,73.83,,,,,,,,,,,,73.97,0.33,191.04,,0.0,128.7,,,2017-02-02
2017-02-03 00:00:00,265.71,,52.94,50.21,69.1,,,,,,,,,,,,70.92,0.37,183.98,,0.0,162.1,,,2017-02-03
2017-02-04 00:00:00,234.95,,53.43,68.88,79.27,,,,,,,,,,,,74.43,0.71,116.17,,0.0,117.37,,,2017-02-04
2017-02-05 00:00:00,185.6,,18.52,56.63,44.47,,,,,,,,,,,,72.47,0.62,114.91,,0.0,106.51,,,2017-02-05
2017-02-06 00:00:00,159.67,,23.65,41.28,40.61,,,,,,,,,,,,68.11,0.51,260.44,,0.0,135.48,,,2017-02-06
2017-02-07 00:00:00,114.16,,14.59,41.09,33.15,,,,,,,,,,,,65.63,0.53,255.72,,0.0,185.5,,,2017-02-07
2017-02-08 00:00:00,167.82,,26.74,53.3,49.41,,,,,,,,,,,,65.33,0.48,228.43,,0.0,168.38,,,2017-02-08
2017-02-09 00:00:00,155.86,,27.52,50.65,48.67,,,,,,,,,,,,66.56,0.51,227.72,,0.0,170.35,,,2017-02-09
2017-02-10 00:00:00,156.74,,15.71,47.52,37.41,,,,,,,,,,,,62.7,0.67,252.29,,0.0,182.14,,,2017-02-10
2017-02-11 00:00:00,163.76,,28.0,52.4,49.97,,,,,,,,,,,,57.17,0.4,249.52,,0.0,183.64,,,2017-02-11
2017-02-12 00:00:00,155.04,,27.47,50.31,48.44,,,,,,,,,,,,59.98,0.38,189.59,,0.0,158.62,,,2017-02-12
2017-02-13 00:00:00,139.92,,22.59,45.65,42.04,,,,,,,,,,,,59.25,0.4,255.95,,0.0,179.11,,,2017-02-13
2017-02-14 00:00:00,204.94,,18.56,52.48,42.33,,,,,,,,,,,,61.24,0.55,249.53,,0.0,174.12,,,2017-02-14
2017-02-15 00:00:00,190.5,,20.15,55.65,45.28,,,,,,,,,,,,57.9,0.55,246.6,,0.0,172.99,,,2017-02-15
2017-02-16 00:00:00,159.1,,6.96,30.75,21.53,,,,,,,,,,,,51.8,0.68,256.71,,0.0,138.75,,,2017-02-16
2017-02-17 00:00:00,150.99,,9.4,33.48,24.94,,,,,,,,,,,,60.85,0.61,246.35,,0.0,124.84,,,2017-02-17
2017-02-18 00:00:00,159.44,,12.49,34.14,27.8,,,,,,,,,,,,67.3,0.48,246.35,,0.0,173.78,,,2017-02-18
2017-02-19 00:00:00,160.01,,15.66,33.59,30.09,,,,,,,,,,,,58.62,0.53,210.21,,0.0,160.22,,,2017-02-19
2017-02-20 00:00:00,170.39,,26.11,35.08,39.37,,,,,,,,,,,,56.29,0.4,179.71,,0.0,161.73,,,2017-02-20
2017-02-21 00:00:00,130.8,,6.57,23.09,17.2,,,,,,,,,,,,72.81,0.71,215.92,,0.0,149.24,,,2017-02-21
2017-02-22 00:00:00,134.92,,10.4,22.93,20.23,,,,,,,,,,,,54.36,0.49,245.56,,0.0,172.51,,,2017-02-22
2017-02-23 00:00:00,97.07,,3.86,17.94,12.3,,,,,,,,,,,,33.56,0.86,245.88,,0.0,196.63,,,2017-02-23
2017-02-24 00:00:00,80.96,,2.61,16.89,10.73,,,,,,,,,,,,28.45,1.13,260.4,,0.0,194.01,,,2017-02-24
2017-02-25 00:00:00,95.26,,3.3,17.53,11.62,,,,,,,,,,,,33.49,1.03,255.64,,0.0,191.15,,,2017-02-25
2017-02-26 00:00:00,134.32,,4.03,18.21,12.58,,,,,,,,,,,,41.68,0.83,251.44,,0.0,190.49,,,2017-02-26
2017-02-27 00:00:00,120.38,,5.5,19.58,14.49,,,,,,,,,,,,39.37,0.56,226.41,,0.0,184.04,,,2017-02-27
2017-02-28 00:00:00,188.66,,13.16,23.19,22.61,,,,,,,,,,,,43.02,0.45,146.34,,0.0,164.24,,,2017-02-28
2017-03-01 00:00:00,144.31,,14.05,23.65,23.58,,,,,,,,,,,,39.29,0.47,154.73,,0.0,150.3,,,2017-03-01
2017-03-02 00:00:00,111.9,,4.94,19.76,14.13,,,,,,,,,,,,54.22,0.36,214.39,,0.0,142.12,,,2017-03-02
2017-03-03 00:00:00,69.52,,4.43,17.59,12.58,,,,,,,,,,,,39.92,0.41,249.79,,0.0,182.5,,,2017-03-03
2017-03-04 00:00:00,113.64,,3.95,17.25,12.01,,,,,,,,,,,,38.12,0.64,254.64,,0.0,204.28,,,2017-03-04
2017-03-05 00:00:00,145.16,,3.46,17.41,11.7,,,,,,,,,,,,34.71,0.82,254.31,,0.0,205.4,,,2017-03-05
2017-03-06 00:00:00,131.08,,4.02,17.88,12.4,,,,,,,,,,,,31.65,0.76,236.69,,0.0,198.9,,,2017-03-06
2017-03-07 00:00:00,133.58,,4.62,19.57,13.77,,,,,,,,,,,,30.79,0.45,191.0,,0.0,185.9,,,2017-03-07
2017-03-08 00:00:00,59.06,,3.36,17.04,11.42,,,,,,,,,,,,40.76,1.06,98.46,,0.0,171.96,,,2017-03-08
2017-03-09 00:00:00,61.03,,4.37,18.99,13.27,,,,,,,,,,,,59.46,0.81,88.24,,0.0,162.77,,,2017-03-09
2017-03-10 00:00:00,47.42,,4.21,19.17,13.23,,,,,,,,,,,,65.17,1.06,101.34,,0.0,170.89,,,2017-03-10
2017-03-11 00:00:00,35.17,,3.94,17.13,11.94,,,,,,,,,,,,53.48,0.57,147.23,,0.0,172.37,,,2017-03-11
2017-03-12 00:00:00,68.94,,4.93,17.68,13.04,,,,,,,,,,,,50.7,0.61,244.01,,0.0,212.47,,,2017-03-12
2017-03-13 00:00:00,86.62,,5.01,16.66,12.56,,,,,,,,,,,,40.21,0.65,239.67,,0.0,221.54,,,2017-03-13
2017-03-14 00:00:00,88.39,,6.76,17.66,14.51,,,,,,,,,,,,42.49,0.44,230.53,,0.0,212.92,,,2017-03-14
2017-03-15 00:00:00,113.55,,6.61,18.61,14.86,,,,,,,,,,,,44.91,0.54,240.83,,0.0,212.31,,,2017-03-15
2017-03-16 00:00:00,137.8,,7.79,19.95,16.55,,,,,,,,,,,,39.69,0.31,237.01,,0.0,173.56,,,2017-03-16
2017-03-17 00:00:00,127.73,,5.61,17.61,13.55,,,,,,,,,,,,53.63,0.73,258.52,,0.0,211.6,,,2017-03-17
2017-03-18 00:00:00,111.11,,5.46,18.26,13.78,,,,,,,,,,,,42.99,0.45,232.22,,0.0,213.27,,,2017-03-18
