Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-01
2017-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-02
2017-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-03
2017-01-04 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-04
2017-01-05 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-05
2017-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-06
2017-01-07 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-07
2017-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-08
2017-01-09 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-09
2017-01-10 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-10
2017-01-11 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-11
2017-01-12 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-12
2017-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-13
2017-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-14
2017-01-15 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-15
2017-01-16 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-16
2017-01-17 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-17
2017-01-18 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-18
2017-01-19 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-19
2017-01-20 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-20
2017-01-21 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-21
2017-01-22 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-22
2017-01-23 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-23
2017-01-24 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-24
2017-01-25 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-25
2017-01-26 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-26
2017-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-27
2017-01-28 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-28
2017-01-29 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-29
2017-01-30 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-30
2017-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-01-31
2017-02-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-01
2017-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-02
2017-02-03 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-03
2017-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-04
2017-02-05 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-05
2017-02-06 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-06
2017-02-07 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-07
2017-02-08 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-08
2017-02-09 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-09
2017-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-10
2017-02-11 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-11
2017-02-12 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-12
2017-02-13 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-13
2017-02-14 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-14
2017-02-15 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-15
2017-02-16 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-16
2017-02-17 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-17
2017-02-18 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-18
2017-02-19 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-19
2017-02-20 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-20
2017-02-21 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-21
2017-02-22 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-22
2017-02-23 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-23
2017-02-24 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-24
2017-02-25 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-25
2017-02-26 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-26
2017-02-27 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-27
2017-02-28 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-02-28
2017-03-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-01
2017-03-02 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-02
2017-03-03 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-03
2017-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-04
2017-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-05
2017-03-06 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-06
2017-03-07 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-07
2017-03-08 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-08
2017-03-09 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-09
2017-03-10 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-10
2017-03-11 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-11
2017-03-12 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-12
2017-03-13 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,2017-03-13
