Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,117.34,,95.39,61.31,,56.75,26.52,,,,,,,,,17.99,79.91,0.98,97.92,,0.0,113.08,1005.53,0.33,2017-01-01
2017-01-02 00:00:00,118.88,,68.39,51.09,,54.54,20.37,,,,,,,,,19.63,73.83,0.93,121.39,,0.0,115.27,1007.27,0.34,2017-01-02
2017-01-03 00:00:00,111.4,,61.97,65.25,,53.85,15.0,,,,,,,,,18.82,79.03,1.01,288.39,,0.0,77.4,1007.39,0.37,2017-01-03
2017-01-04 00:00:00,130.72,,175.55,76.32,,77.72,26.44,,,,,,,,,19.75,70.85,1.04,205.02,,0.0,126.55,1004.97,0.29,2017-01-04
2017-01-05 00:00:00,218.93,,58.81,49.9,,83.41,18.85,,,,,,,,,20.23,75.05,0.97,160.59,,0.0,103.97,1003.05,0.3,2017-01-05
2017-01-06 00:00:00,186.45,,43.35,34.57,,69.97,16.17,,,,,,,,,19.94,77.52,1.09,110.74,,0.0,111.29,1000.77,0.28,2017-01-06
2017-01-07 00:00:00,125.09,,13.07,20.54,,47.93,10.8,,,,,,,,,16.45,93.13,1.08,107.25,,0.0,38.2,1000.42,0.32,2017-01-07
2017-01-08 00:00:00,105.88,,13.66,27.86,,49.0,19.66,,,,,,,,,16.56,78.22,0.89,160.56,,0.0,141.81,1004.01,0.34,2017-01-08
2017-01-09 00:00:00,128.01,,14.48,32.51,,44.61,18.18,,,,,,,,,16.07,72.46,1.01,309.23,,0.0,165.65,1004.54,0.42,2017-01-09
2017-01-10 00:00:00,110.87,,12.54,34.36,,40.28,11.21,,,,,,,,,14.63,48.97,1.07,298.85,,0.0,173.35,1005.31,0.48,2017-01-10
2017-01-11 00:00:00,141.53,,21.22,46.19,,42.57,19.61,,,,,,,,,14.06,45.36,1.06,280.16,,0.0,162.89,1005.53,0.47,2017-01-11
2017-01-12 00:00:00,94.89,,32.74,59.85,,53.18,23.88,,,,,,,,,14.4,61.29,1.03,279.11,,0.0,154.43,1005.21,0.43,2017-01-12
2017-01-13 00:00:00,120.47,,37.56,61.32,,65.45,28.59,,,,,,,,,14.95,61.52,1.06,292.5,,0.0,159.36,1006.14,0.43,2017-01-13
2017-01-14 00:00:00,170.03,,28.71,59.73,,64.85,24.67,,,,,,,,,15.21,63.3,0.96,292.3,,0.0,120.62,1007.79,0.42,2017-01-14
2017-01-15 00:00:00,119.53,,60.61,73.13,,96.21,24.6,,,,,,,,,17.54,62.16,0.88,165.08,,0.0,138.45,1007.19,0.33,2017-01-15
