Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,524.7,568.56,155.5,48.37,151.97,217.66,,,,,,,,,,,,,,,,,,,2017-01-01
2017-01-02 00:00:00,374.07,434.06,139.47,46.49,137.99,205.6,,,,,,,,,,,,,,,,,,,2017-01-02
2017-01-03 00:00:00,167.58,250.28,142.26,50.0,142.23,209.59,,,,,,,,,,,,,,,,,,,2017-01-03
2017-01-04 00:00:00,179.03,239.79,198.93,54.62,190.66,272.34,,,,,,,,,,,,,,,,,,,2017-01-04
2017-01-05 00:00:00,185.73,239.06,153.33,60.19,156.64,230.84,,,,,,,,,,,,,,,,,,,2017-01-05
2017-01-06 00:00:00,172.15,209.77,85.3,51.78,96.22,161.71,,,,,,,,,,,,,,,,,,,2017-01-06
2017-01-07 00:00:00,117.62,137.2,51.34,31.16,57.67,98.02,,,,,,,,,,,,,,,,,,,2017-01-07
2017-01-08 00:00:00,138.12,158.94,38.0,41.85,53.04,90.14,,,,,,,,,,,,,,,,,,,2017-01-08
2017-01-09 00:00:00,127.97,151.14,28.99,41.94,45.77,82.36,,,,,,,,,,,,,,,,,,,2017-01-09
2017-01-10 00:00:00,95.14,114.81,27.12,41.91,44.29,77.73,,,,,,,,,,,,,,,,,,,2017-01-10
2017-01-11 00:00:00,140.16,165.69,40.67,44.84,56.81,92.43,,0.0,,,,,,,,,,,,,,,,,2017-01-11
2017-01-12 00:00:00,172.65,253.99,66.16,51.0,80.9,126.56,,0.0,,,,,,,,,,,,,,,,,2017-01-12
2017-01-13 00:00:00,197.51,240.63,93.81,54.66,105.31,158.67,,,,,,,,,,,,,,,,,,,2017-01-13
2017-01-14 00:00:00,233.23,274.92,99.8,60.74,113.43,176.66,,,,,,,,,,,,,,,,,,,2017-01-14
2017-01-15 00:00:00,169.32,204.04,84.5,60.47,100.82,155.09,,,,,,,,,,,,,,,,,,,2017-01-15
2017-01-16 00:00:00,145.61,174.39,50.27,41.46,62.81,112.34,,,,,,,,,,,,,,,,,,,2017-01-16
2017-01-17 00:00:00,106.51,122.65,25.57,34.18,38.87,70.12,,,,,,,,,,,,,,,,,,,2017-01-17
2017-01-18 00:00:00,115.32,135.12,40.6,41.38,55.0,92.02,,,,,,,,,,,,,,,,,,,2017-01-18
2017-01-19 00:00:00,111.74,132.16,20.83,38.07,37.14,71.07,,,,,,,,,,,,,,,,,,,2017-01-19
2017-01-20 00:00:00,100.59,116.8,27.01,39.76,43.07,78.15,,,,,,,,,,,,,,,,,,,2017-01-20
2017-01-21 00:00:00,215.46,238.08,41.74,53.69,62.49,106.31,,,,,,,,,,,,,,,,,,,2017-01-21
2017-01-22 00:00:00,353.64,356.68,86.86,46.78,95.48,149.36,,,,,,,,,,,,,,,,,,,2017-01-22
2017-01-23 00:00:00,183.02,200.96,46.02,47.25,62.51,111.96,,,,,,,,,,,,,,,,,,,2017-01-23
2017-01-24 00:00:00,164.0,197.71,143.74,62.6,150.07,215.05,,,,,,,,,,,,,,,,,,,2017-01-24
2017-01-25 00:00:00,214.68,239.39,152.98,62.91,157.35,236.88,,,,,,,,,,,,,,,,,,,2017-01-25
2017-01-26 00:00:00,81.5,90.93,18.79,33.72,32.66,69.23,,,,,,,,,,,,,,,,,,,2017-01-26
2017-01-27 00:00:00,,14.92,17.38,26.55,28.03,53.03,,,,,,,,,,,,,,,,,,,2017-01-27
2017-01-28 00:00:00,70.02,86.96,20.37,29.26,31.97,57.46,,,,,,,,,,,,,,,,,,,2017-01-28
2017-01-29 00:00:00,105.72,120.07,32.35,32.37,43.39,70.61,,,,,,,,,,,,,,,,,,,2017-01-29
2017-01-30 00:00:00,149.55,173.76,99.52,46.17,105.32,152.03,,,,,,,,,,,,,,,,,,,2017-01-30
2017-01-31 00:00:00,161.24,178.8,126.69,46.83,127.6,185.72,,,,,,,,,,,,,,,,,,,2017-01-31
2017-02-01 00:00:00,117.79,134.26,92.57,42.41,97.51,140.59,,,,,,,,,,,,,,,,,,,2017-02-01
