Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,141.66,200.19,62.52,50.51,130.38,21.01,7.76,3.76,1.91,3.08,10.29,,,,,12.31,76.83,0.79,210.02,,0.0,71.91,736.73,0.04,2017-01-01
2017-01-02 00:00:00,195.36,284.71,80.05,50.46,154.27,13.87,13.69,4.44,3.15,5.07,18.83,,,,,13.56,73.35,0.54,238.99,,0.0,72.48,736.65,-0.06,2017-01-02
2017-01-03 00:00:00,196.35,293.5,77.79,56.71,156.76,14.42,9.54,5.16,7.77,6.46,25.76,,,,,12.51,75.11,0.67,240.69,,0.0,68.31,736.7,-0.02,2017-01-03
2017-01-04 00:00:00,191.95,302.3,144.72,52.89,242.28,8.0,9.01,4.37,12.13,5.86,28.57,,,,,12.89,70.91,0.77,208.09,,0.0,69.32,736.64,0.09,2017-01-04
2017-01-05 00:00:00,145.72,234.62,116.2,60.44,212.54,23.35,9.04,4.23,27.03,3.98,13.44,,,,,13.75,71.14,0.6,242.21,,0.0,75.35,736.63,-0.03,2017-01-05
2017-01-06 00:00:00,166.36,246.05,63.39,59.25,139.36,34.01,7.72,2.41,16.87,3.26,10.32,,,,,14.55,74.67,1.29,159.85,,0.0,97.31,736.63,0.1,2017-01-06
2017-01-07 00:00:00,146.83,218.7,31.96,43.11,82.04,60.42,5.27,1.72,2.12,2.15,6.65,,,,,10.73,88.15,0.93,134.64,,0.0,5.08,737.0,0.1,2017-01-07
2017-01-08 00:00:00,132.77,191.39,22.38,53.09,77.86,49.78,9.78,1.98,14.99,2.33,9.29,,,,,11.44,78.51,0.68,203.32,,0.0,73.95,736.75,0.06,2017-01-08
2017-01-09 00:00:00,124.9,197.88,14.7,60.74,73.77,37.74,11.32,1.71,23.66,3.22,10.24,,,,,11.39,70.46,1.01,287.64,,0.0,61.78,736.56,-0.01,2017-01-09
2017-01-10 00:00:00,105.46,171.06,6.56,47.0,50.83,37.39,7.05,0.82,17.16,2.72,7.21,,,,,6.39,68.23,0.87,252.06,,0.0,47.85,736.54,-0.01,2017-01-10
