Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01
2017-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-02
2017-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-03
2017-01-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-04
2017-01-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-05
2017-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-06
2017-01-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-07
2017-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-08
2017-01-09 00:00:00,71.6,,115.82,44.4,120.91,,9.42,,24.36,5.18,14.11,,,2.78,5.82,,65.36,0.95,91.17,,,192.34,1004.99,0.3,2017-01-09
2017-01-10 00:00:00,91.09,,16.16,36.88,32.87,,7.35,,23.42,2.57,6.72,,,1.69,3.7,,53.01,0.85,207.11,,,173.0,1005.88,0.29,2017-01-10
2017-01-11 00:00:00,97.7,,16.75,40.79,34.96,,9.61,,9.39,3.72,5.99,,,1.57,4.84,,59.95,0.87,234.68,,,138.69,1006.21,0.28,2017-01-11
2017-01-12 00:00:00,141.33,,33.14,41.24,48.43,,8.13,,16.05,5.06,10.0,,,2.58,9.64,,69.65,0.73,185.91,,,161.45,1006.07,0.28,2017-01-12
2017-01-13 00:00:00,179.66,,36.28,42.82,51.75,,8.32,,18.8,5.27,9.36,,,2.82,8.65,,63.74,0.6,169.55,,,165.15,1006.98,0.27,2017-01-13
2017-01-14 00:00:00,208.0,,30.96,42.53,47.39,,8.85,,17.69,5.2,12.41,,,2.48,5.27,,67.15,0.55,189.14,,,154.39,1008.4,0.28,2017-01-14
2017-01-15 00:00:00,161.37,,16.43,42.42,35.7,,7.47,,25.16,3.26,6.85,,,2.07,7.21,,56.77,0.49,181.44,,,130.67,1007.85,0.33,2017-01-15
2017-01-16 00:00:00,153.07,,10.65,36.38,27.87,,4.83,,17.48,1.69,3.18,,,1.18,2.78,,72.03,1.17,163.87,,,116.19,1006.8,0.32,2017-01-16
2017-01-17 00:00:00,121.5,,10.04,30.08,24.04,,6.59,,16.71,2.07,3.5,,,1.55,2.89,,86.67,0.95,214.49,,,119.67,1008.39,0.28,2017-01-17
2017-01-18 00:00:00,143.43,,16.75,34.35,31.67,,5.9,,15.76,3.12,5.55,,,1.99,1.91,,79.6,0.88,117.73,,,166.67,1011.36,0.2,2017-01-18
2017-01-19 00:00:00,129.19,,11.27,32.94,26.51,,10.93,,17.91,1.38,3.5,,,1.27,2.01,,77.79,1.03,197.75,,,171.69,1012.77,0.23,2017-01-19
2017-01-20 00:00:00,72.44,,22.85,34.43,36.6,,14.58,,20.37,2.28,4.6,,,1.68,4.53,,74.48,0.72,294.15,,,58.64,1011.27,0.06,2017-01-20
2017-01-21 00:00:00,98.22,,18.89,40.1,36.44,,17.98,,18.27,3.21,4.53,,,1.9,5.55,,73.06,0.58,247.17,,,142.97,1010.5,0.09,2017-01-21
2017-01-22 00:00:00,130.12,,42.52,35.65,52.98,,18.92,,19.17,3.74,8.03,,,2.06,5.65,,74.63,0.52,182.41,,,150.75,1011.32,0.09,2017-01-22
2017-01-23 00:00:00,109.41,,26.91,35.13,40.21,,14.95,,16.62,3.56,4.66,,,1.54,4.75,,79.0,0.69,193.11,,,171.83,1010.07,0.03,2017-01-23
2017-01-24 00:00:00,153.15,,46.5,40.15,58.55,,14.83,,29.32,4.07,13.87,,,3.24,6.05,,70.03,0.54,165.97,,,164.54,1008.64,0.07,2017-01-24
2017-01-25 00:00:00,196.1,,52.38,44.06,65.74,,15.97,,29.18,3.96,13.26,,,5.72,4.18,,71.13,1.56,171.57,,,134.21,1008.37,-0.05,2017-01-25
2017-01-26 00:00:00,107.24,,8.3,31.93,23.62,,11.8,,11.68,1.22,2.37,,,1.07,1.35,,,1.03,155.34,,,37.33,1007.7,-0.25,2017-01-26
2017-01-27 00:00:00,110.94,,8.85,26.87,21.44,,8.22,,18.76,1.06,1.63,,,1.25,1.23,,90.32,1.03,275.94,,,177.35,1007.99,0.17,2017-01-27
2017-01-28 00:00:00,107.71,,9.08,26.9,21.57,,8.65,,18.47,1.56,3.78,,,1.22,1.51,,87.54,0.94,264.14,,,160.49,1009.71,0.18,2017-01-28
2017-01-29 00:00:00,145.65,,15.79,29.5,28.33,,9.46,,25.39,3.62,7.03,,,2.59,5.24,,80.88,0.96,303.41,,,164.97,1007.4,0.22,2017-01-29
2017-01-30 00:00:00,153.09,,27.95,31.75,39.07,,12.69,,19.0,9.61,12.85,,,2.95,5.2,,77.99,0.59,208.64,,,191.49,1005.9,0.11,2017-01-30
2017-01-31 00:00:00,244.25,,82.49,39.08,86.77,,13.49,,19.55,12.69,33.16,,,9.63,14.72,,69.64,0.7,134.79,,,202.34,1005.49,0.11,2017-01-31
2017-02-01 00:00:00,137.15,,38.8,27.88,46.73,,5.33,,17.23,3.27,8.92,,,2.79,5.17,,75.28,0.71,232.69,,,204.51,1007.24,0.15,2017-02-01
2017-02-02 00:00:00,145.22,,38.46,32.44,48.03,,6.14,,23.85,3.73,8.25,,,2.74,4.25,,65.4,0.53,192.19,,,212.52,1009.28,0.03,2017-02-02
2017-02-03 00:00:00,133.91,,32.04,30.98,41.92,,6.38,,28.52,3.79,12.45,,,3.45,4.96,,60.65,0.49,190.88,,,204.38,1007.79,0.11,2017-02-03
2017-02-04 00:00:00,115.28,,14.29,29.72,27.24,,5.56,,45.74,1.95,5.4,,,2.89,2.06,,67.4,2.09,173.87,,,159.13,1004.81,-0.09,2017-02-04
2017-02-05 00:00:00,96.13,,14.49,35.55,30.46,,6.43,,49.45,1.21,2.95,,,2.56,4.25,,59.52,1.43,177.12,,,143.92,1003.72,0.06,2017-02-05
2017-02-06 00:00:00,121.54,,17.01,35.57,32.53,,4.58,,24.93,1.2,2.69,,,1.63,3.3,,62.54,1.03,176.82,,,176.38,1006.12,0.16,2017-02-06
2017-02-07 00:00:00,76.76,,9.17,33.79,25.32,,2.34,,35.17,1.22,3.51,,,2.6,2.91,,52.31,1.06,249.51,,,170.49,1006.3,0.15,2017-02-07
2017-02-08 00:00:00,106.26,,19.02,39.37,36.53,,4.17,,26.93,1.86,3.39,,,3.4,2.92,,54.37,0.65,206.29,,,179.2,1005.33,0.14,2017-02-08
2017-02-09 00:00:00,127.94,,20.48,38.17,36.69,,6.99,,36.22,1.59,2.83,,,7.22,2.47,,56.05,0.97,189.8,,,377.6,1006.23,0.16,2017-02-09
2017-02-10 00:00:00,121.96,,13.12,35.86,29.52,,42.79,,27.18,1.36,2.6,,,7.53,2.58,,66.82,0.95,262.43,,,175.71,1005.84,0.2,2017-02-10
2017-02-11 00:00:00,104.55,,14.02,36.51,30.64,,8.5,,33.05,1.61,2.95,,,5.18,4.4,,57.83,0.74,148.31,,,266.0,1006.58,0.11,2017-02-11
2017-02-12 00:00:00,136.01,,18.86,39.19,36.14,,10.83,,51.69,2.83,2.01,,,7.83,10.22,,61.29,0.76,131.45,,,234.93,1009.54,0.11,2017-02-12
2017-02-13 00:00:00,106.4,,11.46,38.32,29.56,,8.92,,41.27,1.84,1.75,,,4.86,6.47,,57.88,0.81,143.99,,,255.03,1011.49,0.13,2017-02-13
2017-02-14 00:00:00,119.48,,17.09,37.64,33.69,,9.38,,37.33,2.0,2.68,,,6.81,7.71,,64.12,0.9,242.12,,,254.05,1011.53,0.23,2017-02-14
2017-02-15 00:00:00,113.03,,13.92,37.57,31.08,,9.38,,31.9,1.79,3.24,,,6.43,8.86,,60.43,0.76,282.41,,,258.82,1010.69,0.28,2017-02-15
2017-02-16 00:00:00,116.39,,10.71,38.46,29.03,,7.22,,35.59,1.85,4.0,,,5.26,6.48,,57.42,0.98,268.26,,,203.42,1008.24,0.33,2017-02-16
2017-02-17 00:00:00,113.44,,10.85,36.95,28.28,,7.43,,32.28,1.71,3.22,,,4.86,8.3,,65.49,1.0,271.4,,,275.69,1007.3,0.35,2017-02-17
2017-02-18 00:00:00,94.52,,16.67,35.97,32.47,,7.65,,22.71,1.82,2.77,,,6.93,7.23,,64.9,0.81,193.97,,,426.47,1007.34,0.31,2017-02-18
2017-02-19 00:00:00,85.3,,27.61,37.99,42.29,,7.98,,29.22,1.03,2.99,,,4.68,7.2,,56.99,0.66,246.06,,,396.67,1004.34,0.34,2017-02-19
2017-02-20 00:00:00,92.03,,32.02,34.69,44.06,,9.5,,30.75,1.22,3.36,,,4.91,12.82,,47.04,0.71,224.19,,,372.69,997.12,0.34,2017-02-20
2017-02-21 00:00:00,103.99,,9.58,24.31,20.59,,7.82,,29.4,1.8,4.66,,,5.62,8.15,,66.63,1.01,266.33,,,347.51,997.85,0.21,2017-02-21
2017-02-22 00:00:00,103.37,,14.75,28.5,26.84,,7.45,,40.17,2.03,5.56,,,6.51,9.83,,52.74,0.96,173.64,,,437.5,1002.35,0.08,2017-02-22
2017-02-23 00:00:00,100.31,,8.69,27.53,21.58,,8.35,,43.35,1.49,6.02,,,4.45,5.11,,32.64,1.39,181.32,,,360.7,1005.2,0.15,2017-02-23
2017-02-24 00:00:00,91.48,,7.3,24.2,18.7,,6.61,,55.68,0.92,7.32,,,4.43,3.33,,35.27,1.59,278.3,,,330.29,1006.47,0.3,2017-02-24
2017-02-25 00:00:00,88.48,,7.95,31.65,23.19,,8.66,,53.81,1.27,6.7,,,1.76,8.22,,37.54,1.31,276.07,,,326.71,1004.92,0.42,2017-02-25
2017-02-26 00:00:00,96.67,,9.64,31.19,24.3,,10.62,,51.16,1.63,8.13,,,0.62,4.92,,50.5,1.03,285.41,,,329.49,1003.13,0.53,2017-02-26
2017-02-27 00:00:00,97.84,,12.69,31.08,26.68,,9.27,,50.56,2.0,8.08,,,1.15,9.79,,46.08,0.83,199.45,,,295.09,1004.47,0.47,2017-02-27
2017-02-28 00:00:00,140.09,,28.32,41.13,44.45,,20.49,,59.74,4.62,12.52,,,2.95,27.33,,39.3,0.51,160.9,,,171.78,1004.31,0.3,2017-02-28
2017-03-01 00:00:00,122.76,,24.43,43.61,42.76,,12.99,,45.89,3.8,9.63,,,4.64,14.96,,37.61,0.97,149.42,,,186.12,1002.92,0.24,2017-03-01
2017-03-02 00:00:00,101.6,,9.85,35.11,26.56,,6.18,,32.47,2.55,13.43,,,4.74,2.36,,52.78,1.08,151.11,,,158.39,1002.65,0.28,2017-03-02
2017-03-03 00:00:00,80.59,,11.84,23.67,26.74,,4.28,,39.36,1.59,4.14,,,3.79,2.06,,39.47,1.25,83.09,,,201.37,1001.41,0.19,2017-03-03
2017-03-04 00:00:00,87.63,,11.93,30.55,42.21,,12.85,,25.18,2.26,8.84,,,4.52,2.98,,45.83,0.95,207.84,,,104.5,1000.33,-0.11,2017-03-04
2017-03-05 00:00:00,82.17,,9.85,36.45,46.3,,19.87,,40.85,1.68,8.14,,,2.77,2.23,,36.68,1.2,239.84,,,202.59,1001.19,-0.37,2017-03-05
2017-03-06 00:00:00,78.65,,12.22,40.3,52.51,,20.62,,40.68,1.77,6.44,,,4.33,2.15,,35.1,1.01,216.18,,,186.44,1000.83,-0.31,2017-03-06
2017-03-07 00:00:00,103.17,,10.82,21.26,24.6,,15.31,,41.54,2.37,9.04,,,7.31,3.54,,31.05,0.63,192.43,,,182.64,999.44,-0.19,2017-03-07
2017-03-08 00:00:00,562.31,,7.68,18.54,16.01,,14.28,,46.87,1.42,4.36,,,2.83,1.54,,38.25,1.85,74.06,,,195.69,999.1,-0.24,2017-03-08
2017-03-09 00:00:00,257.59,,7.66,21.78,17.7,,12.63,,33.4,2.14,5.81,,,4.01,3.42,,57.4,1.42,149.66,,,303.5,998.07,-0.53,2017-03-09
2017-03-10 00:00:00,,,8.2,20.78,17.61,,9.27,,34.93,1.53,10.62,,,1.76,2.96,,62.87,2.14,180.14,,,260.48,997.06,-0.37,2017-03-10
2017-03-11 00:00:00,,,8.35,18.87,16.71,,7.32,,40.37,0.5,0.74,,,0.79,0.63,,50.05,1.2,125.78,,,261.55,1000.27,-0.04,2017-03-11
2017-03-12 00:00:00,,,8.96,22.41,19.06,,7.84,,36.45,,,,,,,,48.32,1.19,157.21,,,350.58,1004.48,0.04,2017-03-12
2017-03-13 00:00:00,,,7.75,16.35,14.89,,8.33,,43.53,,,,,,,,38.96,1.15,150.07,,,306.12,1004.74,0.06,2017-03-13
2017-03-14 00:00:00,,,11.07,19.77,19.36,,9.66,,34.91,,,,,,,,39.25,0.75,156.76,,,252.41,1006.59,0.09,2017-03-14
2017-03-15 00:00:00,,,11.93,20.49,20.37,,13.31,,33.24,1.03,13.26,,,7.73,4.77,,41.37,0.98,168.82,,,230.98,1005.06,0.14,2017-03-15
2017-03-16 00:00:00,,,12.06,21.46,20.89,,11.7,,35.95,1.17,3.93,,,3.58,1.47,,39.84,0.91,186.92,,,198.13,1002.27,0.18,2017-03-16
2017-03-17 00:00:00,,,16.06,22.02,24.27,,8.06,,32.97,1.46,3.38,,,2.44,1.04,,52.71,1.25,159.55,,,212.86,1001.26,0.17,2017-03-17
2017-03-18 00:00:00,,,10.58,24.67,21.59,,8.98,,42.23,1.01,2.3,,,2.58,2.96,,38.72,0.81,159.44,,,227.78,1000.94,0.19,2017-03-18
2017-03-19 00:00:00,,,26.16,34.88,39.49,,6.8,,30.23,1.49,3.48,,,5.74,3.93,,40.15,0.9,176.65,,,200.52,1002.01,0.2,2017-03-19
2017-03-20 00:00:00,,,14.01,29.17,26.72,,9.25,,31.7,1.21,3.71,,,2.11,1.69,,43.27,1.11,226.61,,,232.41,1003.23,0.25,2017-03-20
2017-03-21 00:00:00,,,16.19,32.03,29.99,,11.45,,30.29,1.02,3.34,,,1.89,1.84,,35.24,0.98,237.61,,,231.58,1003.02,0.3,2017-03-21
2017-03-22 00:00:00,,,19.38,38.01,35.72,,19.97,,9.26,1.24,4.77,,,2.51,2.33,,52.72,0.76,263.26,,,97.55,1002.08,0.26,2017-03-22
2017-03-23 00:00:00,114.4,,13.23,35.72,28.88,,6.38,,64.48,2.86,11.65,,,1.48,2.79,,18.47,1.03,125.74,,,211.04,1000.1,0.16,2017-03-23
2017-03-24 00:00:00,434.3,,9.8,31.48,24.55,,7.76,,24.45,2.09,5.87,,,0.77,1.34,,39.33,1.25,67.79,,,182.89,1000.89,0.1,2017-03-24
2017-03-25 00:00:00,326.59,,9.46,26.48,21.65,,2.24,,32.57,2.87,3.77,,,0.59,1.41,,33.94,1.39,182.28,,,238.97,1001.23,0.14,2017-03-25
2017-03-26 00:00:00,185.82,,9.71,25.55,21.25,,2.02,,34.17,3.49,2.8,,,0.56,1.07,,34.08,1.46,256.34,,,259.49,1002.08,0.21,2017-03-26
2017-03-27 00:00:00,309.55,,9.38,28.81,22.82,,4.27,,33.81,3.09,4.73,,,0.64,1.5,,33.56,1.29,211.13,,,253.36,1001.61,0.2,2017-03-27
2017-03-28 00:00:00,358.51,,14.81,31.56,28.62,,4.24,,23.67,4.06,6.39,,,0.9,2.67,,35.53,1.04,231.47,,,210.78,1000.36,0.2,2017-03-28
2017-03-29 00:00:00,,,11.99,27.83,24.4,,4.85,,17.78,3.14,4.0,,,0.7,1.55,,29.0,1.33,188.98,,,249.8,999.04,0.2,2017-03-29
2017-03-30 00:00:00,,,9.86,22.19,19.13,,5.73,,17.42,2.92,1.93,,,2.06,6.19,,40.25,1.3,197.98,,,102.6,998.27,0.15,2017-03-30
2017-03-31 00:00:00,,,12.17,28.2,23.83,,5.93,,31.53,2.5,6.11,,,10.49,3.83,,26.05,1.02,211.75,,,184.36,998.38,0.23,2017-03-31
2017-04-01 00:00:00,,,12.04,27.59,24.31,,5.93,20.23,37.2,2.99,9.88,1.85,,9.55,2.18,,,,159.26,,,198.01,747.23,0.23,2017-04-01
2017-04-02 00:00:00,,,9.3,25.57,21.0,,6.05,23.98,59.15,2.69,8.07,0.93,,5.47,1.55,,,,210.3,,,234.83,764.44,0.23,2017-04-02
2017-04-03 00:00:00,,,9.96,26.79,22.22,,8.77,0.39,54.22,2.7,5.92,1.54,,5.53,1.73,,,,161.6,,,225.21,746.4,0.23,2017-04-03
2017-04-04 00:00:00,,,10.98,24.78,21.97,,8.51,0.5,39.33,2.64,3.58,1.34,,8.48,1.98,,,,122.37,,,173.64,747.5,0.1,2017-04-04
2017-04-05 00:00:00,,,10.35,23.57,20.82,,6.75,33.93,33.75,2.11,1.85,0.76,,5.31,1.45,,,,167.68,,,257.89,761.51,-0.21,2017-04-05
2017-04-06 00:00:00,,,8.6,24.22,19.76,,6.07,4.43,50.61,1.77,2.02,2.36,,3.7,1.97,,,,209.01,,,271.14,747.62,0.07,2017-04-06
2017-04-07 00:00:00,,,12.37,31.28,26.48,,7.93,5.58,49.05,2.51,5.5,1.27,,7.28,2.06,,,,186.12,,,191.19,759.57,0.21,2017-04-07
2017-04-08 00:00:00,,,15.52,32.01,29.44,,11.97,14.31,60.37,2.31,6.6,2.16,,8.78,2.51,,,,214.8,,,280.04,755.58,0.23,2017-04-08
2017-04-09 00:00:00,,,7.85,22.08,18.03,,10.98,5.41,84.42,1.48,2.51,0.56,,2.38,1.09,,,,88.94,,,304.91,753.46,0.17,2017-04-09
2017-04-10 00:00:00,,,8.53,26.71,21.03,,10.08,10.53,77.02,2.09,2.76,1.95,,4.32,1.91,,,,261.21,,,278.74,754.56,0.28,2017-04-10
2017-04-11 00:00:00,76.03,,10.44,30.73,24.69,,11.83,13.76,64.74,2.71,5.22,1.91,,4.14,4.79,,,,185.16,,,292.18,753.05,0.28,2017-04-11
2017-04-12 00:00:00,97.51,,13.0,33.89,29.54,,12.61,13.28,43.86,2.99,6.32,1.67,,3.99,7.99,,,,187.07,,,280.25,755.05,0.39,2017-04-12
2017-04-13 00:00:00,132.53,,57.99,42.19,68.83,,9.37,14.34,35.99,3.01,7.01,1.0,,4.0,8.07,,,,222.16,,,169.04,747.7,0.13,2017-04-13
2017-04-14 00:00:00,124.66,,29.5,54.35,52.51,,9.23,0.64,47.58,3.01,6.99,1.0,,,,,,,159.84,,,472.45,746.69,-0.01,2017-04-14
2017-04-15 00:00:00,141.44,,27.99,53.39,50.79,,10.76,0.64,38.67,3.0,6.98,1.0,,,,,,,208.66,,,712.89,744.9,0.07,2017-04-15
2017-04-16 00:00:00,117.9,,15.04,39.87,33.24,,11.03,0.63,64.51,3.0,7.05,1.0,,,,,,,175.12,,,713.1,745.2,0.05,2017-04-16
2017-04-17 00:00:00,118.99,,13.59,45.94,35.31,,7.9,0.63,58.77,2.98,6.95,0.99,,,,,,,154.01,,,711.72,746.25,-0.03,2017-04-17
2017-04-18 00:00:00,142.06,,15.64,43.57,35.69,,6.55,0.56,33.57,,,,,,,,,,219.43,,,710.95,745.36,0.16,2017-04-18
2017-04-19 00:00:00,126.74,,43.09,39.02,55.23,,8.7,0.74,27.14,,,,,,,,,,213.39,,,712.79,744.07,0.16,2017-04-19
2017-04-20 00:00:00,130.6,,43.59,39.43,55.84,,6.96,0.7,24.31,1.48,15.16,1.41,,,,,,,238.04,,,712.73,742.51,0.17,2017-04-20
2017-04-21 00:00:00,168.14,,9.57,37.3,27.49,,5.12,0.56,29.03,1.5,15.33,1.44,,,,,,,160.2,,,709.54,742.85,-0.02,2017-04-21
2017-04-22 00:00:00,181.53,,7.56,25.77,19.75,,4.64,0.55,18.16,1.5,15.35,1.44,,,,,,,156.34,,,706.62,744.14,0.03,2017-04-22
2017-04-23 00:00:00,112.44,,14.05,27.3,25.77,,4.14,0.48,23.89,1.5,15.35,1.44,,,,,,,190.1,,,709.72,744.82,0.16,2017-04-23
2017-04-24 00:00:00,124.95,,9.65,24.31,20.65,,4.29,0.41,35.27,1.5,10.31,1.49,,,,,,,134.24,,,582.39,746.04,0.3,2017-04-24
2017-04-25 00:00:00,112.69,,7.23,25.05,19.11,,3.0,0.43,48.73,1.5,8.51,1.5,,,,,,,189.04,,,194.9,746.32,0.39,2017-04-25
2017-04-26 00:00:00,87.63,,8.13,26.62,20.66,,0.98,0.4,38.92,1.49,8.54,1.5,,,,,,,262.26,,,198.87,746.61,0.43,2017-04-26
2017-04-27 00:00:00,94.28,,8.05,22.89,18.62,,0.92,0.42,40.98,1.5,8.51,1.5,,,,,,,200.98,,,206.99,747.68,0.36,2017-04-27
2017-04-28 00:00:00,102.08,,11.14,28.37,24.01,,1.46,0.43,33.31,1.5,8.48,1.51,,,,,,,196.92,,,184.04,746.8,0.36,2017-04-28
2017-04-29 00:00:00,116.57,,13.61,33.37,28.64,,2.46,0.52,38.85,1.5,8.48,1.5,,,,,,,169.6,,,188.66,746.64,0.32,2017-04-29
