Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,17.83,325.67,144.82,90.95,278.8,,13.58,1.87,47.62,1.31,6.14,,,,,13.46,69.69,0.6,99.75,,0.0,48.16,739.11,0.02,2017-01-01
2017-01-02 00:00:00,8.73,347.82,123.71,79.97,240.08,,24.97,3.06,56.71,2.46,10.8,,,,,14.34,67.47,0.52,93.73,,0.0,42.79,739.64,0.06,2017-01-02
2017-01-03 00:00:00,4.49,361.21,89.09,87.38,199.52,,17.48,2.54,69.18,4.07,15.41,,,,,13.16,71.35,0.66,89.81,,0.0,50.49,739.94,-0.05,2017-01-03
2017-01-04 00:00:00,46.39,421.31,239.33,89.05,406.18,,19.93,1.7,83.71,3.9,23.8,,,,,14.75,64.88,0.78,114.87,,0.0,52.8,744.94,-0.01,2017-01-04
2017-01-05 00:00:00,76.63,331.4,117.82,97.36,247.66,,25.3,2.81,80.07,1.58,8.7,,,,,15.16,64.98,0.61,101.18,,0.0,51.69,739.18,0.06,2017-01-05
2017-01-06 00:00:00,75.63,253.37,24.53,83.79,108.14,,15.82,1.67,59.64,0.87,3.47,,,,,15.54,66.74,1.19,98.48,,0.0,50.5,738.47,0.09,2017-01-06
2017-01-07 00:00:00,22.32,175.67,18.25,52.23,71.45,,8.92,1.41,32.24,0.7,2.02,,,,,11.5,79.65,1.38,93.2,,0.0,26.26,739.51,0.06,2017-01-07
2017-01-08 00:00:00,1.49,237.0,24.39,75.55,100.61,,18.21,1.35,50.76,0.71,3.27,,,,,11.67,72.02,0.71,66.97,,0.0,61.72,738.79,0.05,2017-01-08
2017-01-09 00:00:00,44.96,247.41,27.97,72.12,102.44,,19.07,1.29,44.84,0.98,4.57,,,,,10.44,69.9,0.94,53.99,,0.0,68.56,738.76,0.02,2017-01-09
2017-01-10 00:00:00,0.75,199.28,15.63,67.1,81.13,,10.05,1.0,61.98,0.72,2.34,,,,,8.97,51.03,1.42,49.55,,0.0,75.76,738.0,0.14,2017-01-10
2017-01-11 00:00:00,24.05,277.88,32.47,76.86,112.81,,19.25,1.38,66.08,1.36,4.1,,,,,7.75,50.95,1.09,74.01,,0.0,73.67,738.0,0.05,2017-01-11
