Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,,326.82,144.28,56.41,247.3,55.61,28.14,3.82,21.92,21.56,38.75,,,,,11.95,75.23,0.87,192.24,,0.0,74.27,735.5,-0.12,2017-01-01
2017-01-02 00:00:00,,323.0,163.92,69.2,285.52,53.96,21.63,3.46,24.35,23.17,47.28,,,,,13.2,72.57,0.6,201.23,,0.0,76.35,735.46,-0.11,2017-01-02
2017-01-03 00:00:00,222.0,361.72,139.86,73.33,256.36,53.05,28.63,3.75,24.44,23.6,41.04,,,,,12.46,74.1,0.51,228.49,,0.0,76.33,735.4,-0.2,2017-01-03
2017-01-04 00:00:00,206.84,303.91,138.76,51.46,235.36,47.04,22.16,3.11,32.17,20.76,39.57,,,,,13.31,69.01,0.64,157.43,,0.0,80.48,735.2,-0.16,2017-01-04
2017-01-05 00:00:00,278.41,341.33,170.5,64.21,290.04,47.16,27.88,3.99,32.03,21.94,45.85,,,,,13.8,70.46,0.52,191.89,,0.0,75.36,735.35,-0.31,2017-01-05
2017-01-06 00:00:00,201.48,264.7,54.57,54.55,123.13,48.83,20.29,2.17,29.64,19.54,39.19,,,,,14.21,71.89,1.2,149.23,,0.0,74.12,735.42,-0.23,2017-01-06
2017-01-07 00:00:00,169.38,180.18,14.53,36.81,52.63,47.36,23.43,1.73,12.42,16.33,22.91,,,,,10.94,83.25,1.43,138.7,,0.0,19.2,735.65,-0.04,2017-01-07
2017-01-08 00:00:00,227.85,200.11,31.33,55.06,91.83,40.08,23.19,1.86,27.26,14.62,29.28,,,,,11.43,72.64,0.65,182.67,,0.0,80.36,735.42,0.06,2017-01-08
2017-01-09 00:00:00,180.7,232.09,49.44,64.17,124.68,39.97,27.25,1.99,24.1,19.79,42.19,,,,,10.13,73.07,0.71,193.88,,0.0,85.11,735.63,-0.05,2017-01-09
2017-01-10 00:00:00,127.33,190.53,36.39,61.33,104.33,30.75,24.97,1.65,35.87,16.51,31.14,,,,,8.21,56.75,0.93,238.15,,0.0,96.26,735.59,-0.12,2017-01-10
