Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01
2017-01-02 00:00:00,142.52,,43.35,29.81,55.66,,7.25,0.91,13.92,9.69,8.21,,,4.44,11.28,,70.27,0.78,149.91,,,159.4,1008.44,0.46,2017-01-02
2017-01-03 00:00:00,179.33,,94.3,29.99,96.5,,17.96,1.67,9.82,15.6,12.0,,,10.29,20.96,,82.27,0.63,227.96,,,114.69,1008.3,0.47,2017-01-03
2017-01-04 00:00:00,178.5,,142.65,31.89,136.18,,17.33,1.64,11.0,10.76,14.01,,,14.62,27.6,,72.56,0.85,203.86,,,124.31,1006.09,0.4,2017-01-04
2017-01-05 00:00:00,161.79,,47.2,28.74,58.17,,15.35,1.24,14.11,6.08,6.61,,,7.01,15.72,,72.96,0.65,195.18,,,117.26,1004.66,0.21,2017-01-05
2017-01-06 00:00:00,123.46,,13.61,21.99,27.77,,9.31,0.53,15.45,2.97,2.47,,,2.38,6.16,,81.43,1.62,151.73,,,103.97,1002.61,0.51,2017-01-06
2017-01-07 00:00:00,92.77,,13.49,16.69,24.9,,8.93,0.84,8.27,2.27,3.65,,,1.58,2.71,,98.42,1.66,144.48,,,66.65,1002.39,0.52,2017-01-07
2017-01-08 00:00:00,132.86,,17.26,19.26,29.26,,14.3,0.6,11.89,2.58,9.95,,,2.17,4.03,,89.58,0.88,85.47,,,129.63,1005.43,0.42,2017-01-08
2017-01-09 00:00:00,135.47,,23.99,20.66,35.37,,14.17,0.71,9.67,3.05,13.87,,,2.12,4.07,,80.93,0.91,202.09,,,177.9,1006.01,0.47,2017-01-09
2017-01-10 00:00:00,89.3,,14.5,18.3,25.7,,15.9,1.05,18.72,2.3,6.04,,,1.24,2.53,,50.64,0.85,302.95,,,194.76,1006.75,0.38,2017-01-10
2017-01-11 00:00:00,133.29,,21.67,25.28,30.78,,24.86,0.9,19.49,3.69,14.18,,,2.23,4.27,,45.85,0.89,247.27,,,173.83,1007.04,0.36,2017-01-11
2017-01-12 00:00:00,180.1,,50.78,28.2,55.62,,17.79,1.53,18.57,6.73,24.02,,,3.5,8.83,,59.26,0.79,251.04,,,192.55,1006.75,0.44,2017-01-12
2017-01-13 00:00:00,197.58,,44.46,28.2,50.55,,27.39,1.04,26.4,5.77,22.13,,,2.99,7.17,,55.49,0.7,237.5,,,209.59,1007.42,0.16,2017-01-13
2017-01-14 00:00:00,226.54,,44.44,29.61,51.3,,22.11,1.41,22.43,7.82,23.72,,,3.42,8.0,,52.51,0.7,208.45,,,154.9,1008.59,0.47,2017-01-14
2017-01-15 00:00:00,207.98,,34.83,28.62,43.08,,27.34,1.05,32.29,4.92,17.82,,,3.86,9.54,,46.21,0.78,158.76,,,169.58,1007.93,0.45,2017-01-15
2017-01-16 00:00:00,133.9,,13.81,25.97,24.9,,15.68,0.82,16.91,2.21,6.07,,,8.14,7.02,,64.66,0.96,241.71,,,163.8,1006.91,0.39,2017-01-16
2017-01-17 00:00:00,89.79,,16.51,23.75,25.84,,14.61,0.86,17.02,2.59,5.56,,,10.16,17.38,,86.59,0.99,262.77,,,167.42,1008.55,0.44,2017-01-17
2017-01-18 00:00:00,137.67,,22.7,25.0,31.46,,23.62,0.66,16.71,3.17,10.22,,,10.01,8.65,,75.86,0.81,263.12,,,212.92,1011.04,0.31,2017-01-18
2017-01-19 00:00:00,98.85,,16.49,23.86,25.88,,16.12,1.38,18.13,2.78,10.14,,,1.23,2.23,,71.06,0.93,290.86,,,212.87,1012.12,0.23,2017-01-19
2017-01-20 00:00:00,88.07,,20.37,23.33,28.71,,17.86,0.74,20.83,4.68,11.02,,,1.36,2.98,,66.23,1.01,282.19,,,223.29,1011.32,0.25,2017-01-20
2017-01-21 00:00:00,185.79,,27.92,22.35,34.23,,25.61,0.61,15.13,7.44,22.03,,,3.27,7.19,,63.99,0.83,255.96,,,146.28,1010.12,0.34,2017-01-21
2017-01-22 00:00:00,169.52,,42.56,22.9,46.23,,16.09,1.27,14.59,4.92,16.5,,,3.1,6.99,,74.24,0.67,236.65,,,162.71,1010.69,0.48,2017-01-22
2017-01-23 00:00:00,147.47,,33.11,22.63,38.52,,13.41,0.99,9.59,3.57,8.76,,,1.56,4.07,,86.98,1.0,272.83,,,207.08,1010.45,0.52,2017-01-23
2017-01-24 00:00:00,177.86,,26.18,39.83,41.78,,14.15,1.75,51.63,3.91,19.56,,,2.76,7.08,,41.71,0.96,131.47,,,346.18,1008.11,0.1,2017-01-24
2017-01-25 00:00:00,204.86,,16.27,34.99,31.55,,9.4,0.99,29.62,7.02,10.2,,,2.47,5.38,,58.09,1.79,132.1,,,194.13,1007.78,0.11,2017-01-25
2017-01-26 00:00:00,107.26,,16.04,25.81,26.56,,11.48,0.67,8.72,6.64,5.86,,,1.54,1.96,,95.23,1.36,119.61,,,35.05,1007.67,0.24,2017-01-26
2017-01-27 00:00:00,56.91,,17.11,22.08,25.43,,10.3,0.74,12.21,6.0,8.05,,,1.92,0.94,,91.32,1.35,253.84,,,170.23,1007.7,0.11,2017-01-27
2017-01-28 00:00:00,102.78,,22.27,22.18,29.61,,13.96,1.18,11.02,7.0,9.07,,,1.74,0.87,,94.65,1.04,277.1,,,193.46,1009.36,0.1,2017-01-28
2017-01-29 00:00:00,91.53,,35.01,23.42,40.47,,17.15,1.13,17.9,6.99,9.02,,,3.58,1.73,,90.71,1.21,257.12,,,205.34,1007.32,0.39,2017-01-29
2017-01-30 00:00:00,168.77,,84.49,26.61,81.75,,21.24,1.58,18.03,8.83,18.86,,,8.42,2.9,,85.41,0.7,213.63,,,230.28,1006.11,0.31,2017-01-30
2017-01-31 00:00:00,174.09,,145.3,28.19,131.23,,24.03,1.7,14.51,10.04,30.77,,,11.49,4.49,,79.16,0.69,223.09,,,233.32,1005.6,0.56,2017-01-31
2017-02-01 00:00:00,115.58,,64.41,25.65,65.17,,16.5,1.28,13.74,8.08,15.15,,,5.55,1.97,,82.44,0.84,235.29,,,242.66,1007.02,0.34,2017-02-01
2017-02-02 00:00:00,209.24,,175.56,31.34,157.12,,19.3,1.89,18.57,10.47,30.76,,,14.04,5.91,,70.69,0.6,206.1,,,225.85,1008.91,0.45,2017-02-02
2017-02-03 00:00:00,197.41,,106.65,34.55,103.7,,14.05,1.46,31.97,11.43,32.81,,,11.52,5.19,,69.43,0.6,159.12,,,231.35,1007.69,0.54,2017-02-03
2017-02-04 00:00:00,164.63,,40.39,30.22,48.37,,8.97,1.68,35.95,8.82,14.67,,,5.99,2.71,,82.71,1.75,125.04,,,177.03,1004.99,0.51,2017-02-04
2017-02-05 00:00:00,131.73,,35.06,26.72,42.21,,9.46,1.1,42.39,6.65,8.57,,,5.67,3.02,,79.3,1.44,116.42,,,169.94,1004.02,0.5,2017-02-05
2017-02-06 00:00:00,177.1,,70.08,29.01,71.48,,7.81,1.23,23.57,7.24,14.2,,,5.57,2.29,,70.97,0.95,272.89,,,235.14,1005.9,0.48,2017-02-06
2017-02-07 00:00:00,83.88,,17.98,25.34,27.87,,8.33,0.61,32.07,6.46,9.66,,,2.31,1.2,,53.9,0.96,291.54,,,258.24,1006.34,0.28,2017-02-07
2017-02-08 00:00:00,145.53,,33.18,26.48,40.63,,8.8,0.93,35.84,6.88,12.58,,,3.79,1.72,,56.71,0.99,220.05,,,256.16,1005.48,0.46,2017-02-08
2017-02-09 00:00:00,141.59,,38.98,26.97,45.52,,10.39,1.03,32.18,6.65,12.24,,,2.93,1.19,,59.81,0.87,232.24,,,242.84,1006.23,0.23,2017-02-09
2017-02-10 00:00:00,121.87,,31.22,25.19,38.38,,10.65,0.85,30.69,8.6,13.21,,,3.2,1.43,,59.36,1.08,270.65,,,252.72,1005.95,0.36,2017-02-10
2017-02-11 00:00:00,126.4,,30.29,26.21,38.18,,14.07,1.06,32.96,7.33,13.35,,,3.63,1.47,,46.17,0.82,255.5,,,251.36,1006.48,0.47,2017-02-11
2017-02-12 00:00:00,160.96,,43.13,26.87,48.8,,11.47,0.77,39.29,6.51,11.51,,,3.74,1.55,,47.79,0.78,112.32,,,221.42,1009.22,0.39,2017-02-12
2017-02-13 00:00:00,147.4,,28.19,25.44,36.09,,8.54,0.67,36.67,6.52,10.76,,,3.31,1.42,,48.22,0.66,248.94,,,242.68,1010.72,0.47,2017-02-13
2017-02-14 00:00:00,159.5,,23.72,27.74,33.73,,15.69,1.55,36.2,7.72,14.62,,,4.34,1.95,,50.39,0.99,263.95,,,234.13,1010.79,0.42,2017-02-14
2017-02-15 00:00:00,192.65,,41.03,33.63,50.74,,20.2,0.94,18.66,12.96,29.9,,,7.09,7.79,,56.0,0.83,249.68,,,125.21,1009.99,0.39,2017-02-15
2017-02-16 00:00:00,143.45,,15.07,31.44,28.78,,20.19,0.91,36.13,4.96,12.91,,,1.45,2.76,,44.14,1.03,282.43,,,195.2,1007.87,0.28,2017-02-16
2017-02-17 00:00:00,121.45,,16.62,31.89,30.26,,23.18,1.56,25.44,5.49,12.75,,,1.48,2.59,,52.91,1.23,268.72,,,174.6,1006.95,0.56,2017-02-17
2017-02-18 00:00:00,137.56,,28.46,33.81,40.75,,22.57,1.3,21.25,3.62,7.47,,,3.44,3.31,,64.31,0.89,276.59,,,240.13,1006.94,0.34,2017-02-18
2017-02-19 00:00:00,180.26,,65.82,34.13,70.82,,21.93,1.52,30.42,3.0,5.99,,,4.99,4.0,,56.25,0.87,199.01,,,231.44,1004.13,-0.06,2017-02-19
2017-02-20 00:00:00,199.49,,62.34,34.44,68.19,,15.72,1.35,24.17,3.95,16.17,,,10.02,27.46,,42.43,0.92,176.04,,,219.38,997.74,-0.06,2017-02-20
2017-02-21 00:00:00,134.18,,22.96,30.95,34.82,,12.14,1.01,27.57,3.27,14.09,,,3.69,15.77,,68.41,1.46,233.48,,,207.29,998.65,-0.03,2017-02-21
2017-02-22 00:00:00,151.45,,33.96,32.08,44.23,,17.81,0.96,37.87,3.05,10.12,,,2.25,5.76,,48.22,1.1,159.43,,,348.68,1002.26,-0.06,2017-02-22
2017-02-23 00:00:00,116.63,,8.83,28.34,22.12,,13.93,0.62,54.06,1.89,6.82,,,1.27,2.49,,14.78,1.46,293.68,,,338.49,1005.58,-0.12,2017-02-23
2017-02-24 00:00:00,100.27,,8.71,27.87,21.73,,14.42,1.41,53.05,2.21,5.05,,,1.08,1.58,,23.4,1.52,287.5,,,255.62,1006.27,0.07,2017-02-24
2017-02-25 00:00:00,91.11,,10.23,27.66,22.9,,16.78,1.28,46.54,2.78,5.84,,,1.24,2.1,,24.56,1.32,287.12,,,251.73,1004.89,0.06,2017-02-25
2017-02-26 00:00:00,106.86,,9.38,28.38,22.59,,16.06,1.68,43.31,2.7,5.6,,,1.16,1.71,,35.27,1.4,274.98,,,254.29,1003.35,0.19,2017-02-26
2017-02-27 00:00:00,143.27,,47.21,29.27,53.33,,16.29,1.8,38.62,2.88,12.92,,,2.16,5.24,,30.68,1.01,235.51,,,251.32,1004.56,-0.07,2017-02-27
2017-02-28 00:00:00,248.46,,201.08,33.25,178.55,,18.94,3.23,39.52,7.18,33.6,,,6.15,13.03,,33.4,0.78,130.82,,,212.47,1004.45,-0.07,2017-02-28
2017-03-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-01
2017-03-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-02
2017-03-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-03
2017-03-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-04
2017-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-05
2017-03-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-06
2017-03-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-07
2017-03-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-08
2017-03-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-09
2017-03-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-10
2017-03-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-11
2017-03-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-12
2017-03-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-13
2017-03-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-14
2017-03-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-15
2017-03-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-16
2017-03-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-17
2017-03-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-18
2017-03-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-19
2017-03-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-20
2017-03-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-21
2017-03-22 00:00:00,184.92,,10.63,19.8,19.04,,11.88,,102.98,2.0,4.12,,,3.06,4.02,,21.67,2.22,260.88,,,894.44,1001.38,0.05,2017-03-22
2017-03-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-23
2017-03-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-24
2017-03-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-25
2017-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-26
2017-03-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-27
