Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Datetime
2017-01-01 00:00:00,195.72,,115.02,76.63,132.73,22.72,,,,,,,,,,,89.2,0.14,101.31,0.0,0.0,38.81,,,2017-01-01
2017-01-02 00:00:00,229.28,,216.42,123.21,238.25,41.23,,,,,,,,,,,82.02,0.1,144.51,0.0,0.0,49.09,,,2017-01-02
2017-01-03 00:00:00,242.96,,127.71,100.05,155.16,26.52,,,,,,,,,,,84.24,0.15,201.85,0.0,0.0,50.06,,,2017-01-03
2017-01-04 00:00:00,199.49,,210.22,114.4,228.64,39.2,,,,,,,,,,,76.85,0.16,135.59,0.0,0.0,52.03,,,2017-01-04
2017-01-05 00:00:00,183.02,,106.32,84.58,129.95,22.07,,,,,,,,,,,81.28,0.12,161.78,0.0,0.0,45.88,,,2017-01-05
2017-01-06 00:00:00,168.84,,66.74,66.92,89.02,14.88,,,,,,,,,,,81.24,0.34,107.18,0.0,0.0,45.31,,,2017-01-06
2017-01-07 00:00:00,141.09,,27.8,40.0,43.79,7.07,,,,,,,,,,,96.96,0.38,117.72,0.0,0.0,22.94,,,2017-01-07
2017-01-08 00:00:00,130.5,,49.58,51.25,67.1,11.11,,,,,,,,,,,87.08,0.12,126.19,0.0,0.0,69.08,,,2017-01-08
2017-01-09 00:00:00,152.26,,65.97,69.66,89.85,15.11,,,,,,,,,,,83.03,0.17,243.99,0.0,0.0,76.35,,,2017-01-09
2017-01-10 00:00:00,117.6,,55.1,65.21,78.83,13.15,,,,,,,,,,,60.8,0.31,246.06,0.0,0.0,109.42,,,2017-01-10
2017-01-11 00:00:00,156.37,,71.29,75.91,97.37,16.39,,,,,,,,,,,60.6,0.3,223.51,0.0,0.0,98.65,,,2017-01-11
2017-01-12 00:00:00,217.81,,114.74,95.79,142.54,24.28,,,,,,,,,,,65.46,0.21,221.28,0.0,0.0,86.85,,,2017-01-12
2017-01-13 00:00:00,312.75,,127.81,105.49,157.9,26.93,,,,,,,,,,,67.0,0.21,252.54,0.0,0.0,65.18,,,2017-01-13
2017-01-14 00:00:00,361.53,,164.44,123.52,196.83,33.68,,,,,,,,,,,64.14,0.18,212.26,0.0,0.0,80.51,,,2017-01-14
2017-01-15 00:00:00,286.3,,72.93,81.7,101.71,17.16,,,,,,,,,,,55.94,0.14,152.07,0.0,0.0,83.69,,,2017-01-15
2017-01-16 00:00:00,210.33,,52.17,73.48,80.81,13.51,,,,,,,,,,,70.11,0.33,218.2,0.0,0.0,78.01,,,2017-01-16
2017-01-17 00:00:00,295.55,,39.35,58.68,62.81,10.38,,,,,,,,,,,82.82,0.33,256.34,0.0,0.0,69.02,,,2017-01-17
2017-01-18 00:00:00,333.02,,86.65,81.13,112.38,19.0,,,,,,,,,,,74.97,0.13,200.91,0.0,0.0,72.8,,,2017-01-18
2017-01-19 00:00:00,452.24,,50.48,69.41,77.32,12.9,,,,,,,,,,,72.77,0.41,276.88,0.0,0.0,85.89,,,2017-01-19
2017-01-20 00:00:00,507.78,,44.99,67.55,71.93,11.97,,,,,,,,,,,71.04,0.34,258.71,0.0,0.0,90.27,,,2017-01-20
2017-01-21 00:00:00,602.16,,88.7,88.25,117.76,19.97,,,,,,,,,,,64.07,0.28,254.66,0.0,0.0,65.88,,,2017-01-21
2017-01-22 00:00:00,441.44,,114.03,90.41,139.16,23.67,,,,,,,,,,,76.06,0.14,213.37,0.0,0.0,73.29,,,2017-01-22
2017-01-23 00:00:00,396.95,,100.03,86.28,125.79,21.36,,,,,,,,,,,77.48,0.18,208.31,0.0,0.0,81.63,,,2017-01-23
2017-01-24 00:00:00,274.45,,169.63,120.52,199.4,34.14,,,,,,,,,,,78.78,0.11,165.84,0.0,0.0,73.05,,,2017-01-24
2017-01-25 00:00:00,233.12,,227.49,134.69,253.12,43.43,,,,,,,,,,,79.13,0.31,126.24,0.0,0.0,55.81,,,2017-01-25
2017-01-26 00:00:00,128.92,,30.35,51.46,51.82,8.47,,,,,,,,,,,93.63,0.21,139.84,0.0,0.0,12.7,,,2017-01-26
2017-01-27 00:00:00,61.31,,24.53,45.81,44.2,7.14,,,,,,,,,,,87.35,0.4,260.42,0.0,0.0,79.35,,,2017-01-27
2017-01-28 00:00:00,104.81,,29.04,50.71,50.38,8.2,,,,,,,,,,,90.13,0.35,267.82,0.0,0.0,73.5,,,2017-01-28
2017-01-29 00:00:00,117.1,,27.56,45.24,46.26,7.57,,,,,,,,,,,78.83,0.33,215.37,0.0,0.0,76.67,,,2017-01-29
2017-01-30 00:00:00,144.26,,124.8,90.11,147.62,25.16,,,,,,,,,,,82.73,0.19,200.18,0.0,0.0,74.58,,,2017-01-30
2017-01-31 00:00:00,174.09,,255.93,137.16,277.15,47.67,,,,,,,,,,,83.0,0.16,190.31,0.0,0.0,84.43,,,2017-01-31
2017-02-01 00:00:00,113.46,,94.43,82.15,119.16,20.19,,,,,,,,,,,79.82,0.31,233.19,0.0,0.0,135.2,,,2017-02-01
2017-02-02 00:00:00,177.83,,264.76,150.53,291.22,50.07,,,,,,,,,,,75.72,0.12,187.23,0.0,0.0,104.6,,,2017-02-02
2017-02-03 00:00:00,175.02,,217.93,132.53,244.33,41.96,,,,,,,,,,,78.57,0.13,160.34,0.0,0.0,94.59,,,2017-02-03
2017-02-04 00:00:00,180.28,,82.76,75.99,106.59,17.98,,,,,,,,,,,83.61,0.48,116.93,0.0,0.0,79.86,,,2017-02-04
2017-02-05 00:00:00,157.41,,40.42,55.84,62.18,10.24,,,,,,,,,,,82.87,0.3,126.69,0.0,0.0,60.29,,,2017-02-05
2017-02-06 00:00:00,178.12,,119.55,86.45,141.49,24.01,,,,,,,,,,,75.21,0.26,258.2,0.0,0.0,77.03,,,2017-02-06
2017-02-07 00:00:00,73.95,,28.66,59.77,54.78,9.02,,,,,,,,,,,58.36,0.34,257.68,0.0,0.0,110.56,,,2017-02-07
2017-02-08 00:00:00,122.34,,77.03,84.45,106.44,17.97,,,,,,,,,,,68.39,0.19,214.14,0.0,0.0,104.36,,,2017-02-08
2017-02-09 00:00:00,118.49,,101.59,82.08,124.97,32.08,,,,,,,,,,,72.36,0.25,217.93,0.0,0.0,92.37,,,2017-02-09
2017-02-10 00:00:00,133.25,,117.18,59.89,125.61,52.98,,,,,,,,,,,70.47,0.35,247.58,0.0,0.0,114.9,,,2017-02-10
2017-02-11 00:00:00,152.75,,175.71,62.13,173.69,71.58,,,,,,,,,,,59.29,0.18,206.19,0.0,0.0,122.4,,,2017-02-11
2017-02-12 00:00:00,208.42,,271.8,54.69,246.65,98.72,,,,,,,,,,,68.32,0.08,143.29,0.0,0.0,93.52,,,2017-02-12
2017-02-13 00:00:00,186.71,,161.0,62.14,161.93,67.11,,,,,,,,,,,68.9,0.19,233.47,0.0,0.0,88.99,,,2017-02-13
2017-02-14 00:00:00,311.49,,99.25,70.2,116.75,50.69,,,,,,,,,,,63.53,0.28,246.68,0.0,0.0,109.45,,,2017-02-14
2017-02-15 00:00:00,277.11,,108.57,68.61,123.38,53.05,,,,,,,,,,,63.45,0.25,250.63,0.0,0.0,97.31,,,2017-02-15
2017-02-16 00:00:00,299.43,,108.74,65.86,122.07,52.23,,,,,,,,,,,57.56,0.36,264.74,0.0,0.0,102.62,,,2017-02-16
2017-02-17 00:00:00,112.5,,68.9,65.08,89.79,39.85,,,,,,,,,,,59.61,0.37,265.01,0.0,0.0,75.96,,,2017-02-17
2017-02-18 00:00:00,108.71,,125.86,57.36,131.31,54.88,,,,,,,,,,,68.63,0.25,255.66,0.0,0.0,90.03,,,2017-02-18
2017-02-19 00:00:00,107.73,,195.84,55.06,185.99,74.97,,,,,,,,,,,64.42,0.22,233.54,0.0,0.0,105.24,,,2017-02-19
2017-02-20 00:00:00,121.34,,298.55,50.57,265.22,105.21,,,,,,,,,,,55.64,0.17,191.99,0.0,0.0,96.42,,,2017-02-20
2017-02-21 00:00:00,93.95,,114.86,53.68,120.24,50.21,,,,,,,,,,,69.05,0.36,233.91,0.0,0.0,98.68,,,2017-02-21
2017-02-22 00:00:00,79.27,,144.55,50.31,142.52,58.49,,,,,,,,,,,53.71,0.2,208.28,0.0,0.0,121.55,,,2017-02-22
2017-02-23 00:00:00,253.51,,66.85,59.76,85.36,37.65,,,,,,,,,,,40.64,0.47,263.89,0.0,0.0,117.44,,,2017-02-23
2017-02-24 00:00:00,839.55,,36.86,57.46,60.13,27.8,,,,,,,,,,,37.59,0.69,264.81,0.0,0.0,128.18,,,2017-02-24
2017-02-25 00:00:00,802.77,,63.08,63.81,84.45,37.69,,,,,,,,,,,41.48,0.58,257.05,0.0,0.0,103.62,,,2017-02-25
2017-02-26 00:00:00,856.56,,67.11,62.96,87.25,38.68,,,,,,,,,,,45.91,0.5,258.74,0.0,0.0,115.72,,,2017-02-26
2017-02-27 00:00:00,1000.0,,117.01,68.09,129.83,55.48,,,,,,,,,,,49.91,0.27,240.63,0.0,0.0,114.3,,,2017-02-27
2017-02-28 00:00:00,156.53,,289.87,99.22,284.43,117.52,,,,,,,,,,,53.21,0.11,152.33,0.0,0.0,79.78,,,2017-02-28
2017-03-01 00:00:00,124.01,,268.37,74.21,254.0,102.83,,,,,,,,,,,50.08,0.15,136.31,0.0,0.0,90.4,,,2017-03-01
2017-03-02 00:00:00,108.13,,144.91,65.11,150.53,63.0,,,,,,,,,,,57.78,0.13,172.6,0.0,0.0,67.53,,,2017-03-02
2017-03-03 00:00:00,53.82,,93.58,56.86,105.19,44.92,,,,,,,,,,,42.56,0.17,226.39,0.0,0.0,101.22,,,2017-03-03
2017-03-04 00:00:00,85.05,,84.4,59.96,99.49,43.05,,,,,,,,,,,44.38,0.31,263.48,0.0,0.0,120.2,,,2017-03-04
2017-03-05 00:00:00,91.32,,69.59,58.33,86.79,38.04,,,,,,,,,,,41.02,0.38,267.7,0.0,0.0,134.87,,,2017-03-05
2017-03-06 00:00:00,88.12,,76.62,65.43,96.11,42.34,,,,,,,,,,,39.65,0.32,257.18,0.0,0.0,85.45,,,2017-03-06
