folder_name,aqi_file,pollutant_file
Alipur,AQI_daily_2017_Alipur_Delhi_DPCC_2017,Raw_data_1Day_2017_site_5024_Alipur_Delhi_DPCC_1Day
Anand Vihar,AQI_daily_2017_Anand_Vihar_Delhi_DPCC_2017,Raw_data_1Day_2017_site_301_Anand_Vihar_Delhi_DPCC_1Day
Ashok Vihar,AQI_daily_2017_Ashok_Vihar_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1420_Ashok_Vihar_Delhi_DPCC_1Day
Aya Nagar,AQI_daily_2017_Aya_Nagar_Delhi_IMD_2017,Raw_data_1Day_2017_site_108_Aya_Nagar_Delhi_IMD_1Day
Bawana,AQI_daily_2017_Bawana_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1560_Bawana_Delhi_DPCC_1Day
Burari Crossing,AQI_daily_2017_Burari_Crossing_Delhi_IMD_2017,Raw_data_1Day_2017_site_104_Burari_Crossing_Delhi_IMD_1Day
Chandni Chowk,AQI_daily_2017_Chandni_Chowk_Delhi_IITM_2017,Raw_data_1Day_2017_site_5393_Chandni_Chowk_Delhi_IITM_1Day
CRRI Mathura Road,AQI_daily_2017_CRRI_Mathura_Road_Delhi_IMD_2017,Raw_data_1Day_2017_site_103_CRRI_Mathura_Road_Delhi_IMD_1Day
Dr. Karni Singh Shooting Range,AQI_daily_2017_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Day
DTU,AQI_daily_2017_DTU_Delhi_CPCB_2017,Raw_data_1Day_2017_site_118_DTU_Delhi_CPCB_1Day
Dwarka Sector-8,AQI_daily_2017_Dwarka-Sector_8_Delhi_DPCC__2017,Raw_data_1Day_2017_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Day
IGI Airport T3,AQI_daily_2017_IGI_Airport_(T3)_Delhi_IMD_2017,Raw_data_1Day_2017_site_106_IGI_Airport_(T3)_Delhi_IMD_1Day
IHBAS Dilshad Garden,AQI_daily_2017_IHBAS_Dilshad_Garden_Delhi_CPCB_2017,Raw_data_1Day_2017_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Day
ITO,AQI_daily_2017_ITO_Delhi_CPCB_2017,Raw_data_1Day_2017_site_117_ITO_Delhi_CPCB_1Day
Jahangirpuri,AQI_daily_2017_Jahangirpuri_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1423_Jahangirpuri_Delhi_DPCC_1Day
Jawaharlal Nehru Stadium,AQI_daily_2017_Jawaharlal_Nehru_Stadium_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Day
Lodhi Road,AQI_daily_2017_Lodhi_Road_Delhi_IMD_2017,Raw_data_1Day_2017_site_109_Lodhi_Road_Delhi_IMD_1Day
Major Dhyan Chand National Stadium,AQI_daily_2017_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Day
Mandir Marg,AQI_daily_2017_Mandir_Marg_Delhi_DPCC_2017,Raw_data_1Day_2017_site_122_Mandir_Marg_Delhi_DPCC_1Day
Mundka,AQI_daily_2017_Mundka_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1561_Mundka_Delhi_DPCC_1Day
Najafgarh,AQI_daily_2017_Najafgarh_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1427_Najafgarh_Delhi_DPCC_1Day
Narela,AQI_daily_2017_Narela_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1426_Narela_Delhi_DPCC_1Day
Nehru Nagar,AQI_daily_2017_Nehru_Nagar_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1429_Nehru_Nagar_Delhi_DPCC_1Day
North Campus DU,AQI_daily_2017_North_Campus_DU_Delhi_IMD_2017,Raw_data_1Day_2017_site_105_North_Campus_DU_Delhi_IMD_1Day
NSIT,AQI_daily_2017_NSIT_Dwarka_Delhi_CPCB_2017,Raw_data_1Day_2017_site_115_NSIT_Dwarka_Delhi_CPCB_1Day
Okhla Phase-2,AQI_daily_2017_Okhla_Phase-2_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1428_Okhla_Phase-2_Delhi_DPCC_1Day
Patparganj,AQI_daily_2017_Patparganj_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1431_Patparganj_Delhi_DPCC_1Day
Punjabi Bagh,AQI_daily_2017_Punjabi_Bagh_Delhi_DPCC_2017,Raw_data_1Day_2017_site_125_Punjabi_Bagh_Delhi_DPCC_1Day
Pusa,AQI_daily_2017_Pusa_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1563_Pusa_Delhi_DPCC_1Day
RK Puram,AQI_daily_2017_R_K_Puram_Delhi_DPCC_2017,Raw_data_1Day_2017_site_124_R_K_Puram_Delhi_DPCC_1Day
Rohini,AQI_daily_2017_Rohini_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1430_Rohini_Delhi_DPCC_1Day
Shadipur,AQI_daily_2017_Shadipur_Delhi_CPCB_2017,Raw_data_1Day_2017_site_113_Shadipur_Delhi_CPCB_1Day
Siri Fort,AQI_daily_2017_Sirifort_Delhi_CPCB_2017,Raw_data_1Day_2017_site_119_Sirifort_Delhi_CPCB_1Day
Sonia Vihar,AQI_daily_2017_Sonia_Vihar_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1432_Sonia_Vihar_Delhi_DPCC_1Day
Sri Aurobindo Marg,AQI_daily_2017_Sri_Aurobindo_Marg_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Day
Vivek Vihar,AQI_daily_2017_Vivek_Vihar_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1435_Vivek_Vihar_Delhi_DPCC_1Day
Wazirpur,AQI_daily_2017_Wazirpur_Delhi_DPCC_2017,Raw_data_1Day_2017_site_1434_Wazirpur_Delhi_DPCC_1Day
